target_id,primary_tce,secondary_tce,tce_maxmesd_primary,tce_maxmesd_secondary,tce_maxmesd_secondary_new,koi_disposition_primary,koi_disposition_secondary,fpwg_disp_status_primary,fpwg_disp_status_secondary,label_primary,label_secondary
2452440,1,2,4.051,-1.11,-4.051,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2556127,1,2,0.4167,0.5825,-0.4167,,,,,NTP,NTP
2557430,1,2,0.6509999999999999,0.8290000000000001,-0.6509999999999999,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2568971,1,2,2.466,3.706,-2.466,FALSE POSITIVE,,CERTIFIED FA,,NTP,NTP
2571417,1,2,2.173,0.9876,-2.173,,,,,NTP,NTP
2573056,1,2,0.6198,0.3969,-0.6198,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2576692,1,2,35.93,54.03,-35.93,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2579147,2,3,4.084,5.255,-4.084,,,,,NTP,NTP
2580872,1,2,7.42,7.492000000000001,-7.42,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2583153,2,3,0.2994,0.4042,-0.2994,,,,,NTP,NTP
2583777,1,2,0.4831,-0.1456,-0.4831,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2693092,1,2,13.7,20.72,-13.7,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2694337,2,3,0.4936,0.4062,-0.4936,,,,,NTP,NTP
2697935,1,2,0.3125,2.295,-0.3125,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2707097,1,2,0.349,0.4531,-0.349,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2711597,1,2,0.4958,0.1656,-0.4958,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2719873,1,2,8.623,6.4220000000000015,-8.623,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2720354,1,2,1.41,0.4632,-1.41,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2721835,1,2,1.492,1.621,-1.492,,,,,NTP,NTP
2833709,2,3,7.081,2.738,-7.081,,,,,NTP,NTP
2851100,1,2,0.4370000000000001,-0.1438,-0.4370000000000001,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2852560,1,2,8.544,4.421,-8.544,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2852560,4,5,2.032,-3.135,-2.032,,,,,NTP,NTP
2853320,1,3,2.082,1.008,-2.082,,,,,NTP,NTP
2855026,1,2,0.8957,0.6875,-0.8957,,,,,NTP,NTP
2856960,1,2,-0.8958,-3.876,0.8958,,FALSE POSITIVE,,CERTIFIED FP,NTP,AFP
2857722,1,2,0.4145,0.4176,-0.4145,,,,,NTP,NTP
2860594,1,2,2.745,1.633,-2.745,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2983219,1,6,20.35,9.052,-20.35,,,,,NTP,NTP
2988145,1,3,0.4775,0.2781,-0.4775,,,,,NTP,NTP
2988783,2,3,0.9316,0.6875,-0.9316,,,,,NTP,NTP
2995931,1,2,0.4271,0.4249,-0.4271,,,,,NTP,NTP
2997455,1,2,0.5688,0.3517,-0.5688,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2998124,1,2,13.5,21.39,-13.5,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3003991,1,2,3.62,1.026,-3.62,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3097352,1,2,2.011,1.725,-2.011,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3098015,1,2,0.2625,0.3582,-0.2625,,,,,NTP,NTP
3098184,1,2,11.22,13.9,-11.22,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3098194,1,2,11.2,21.37,-11.2,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3098197,1,2,11.19,4.155,-11.19,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3102000,1,2,4.509,-9.529,-4.509,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3102024,1,2,9.594,-3.129,-9.594,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3112129,1,2,0.4795,0.3844,-0.4795,CANDIDATE,,POSSIBLE PLANET,,PC,NTP
3113266,1,2,0.4854,0.4125,-0.4854,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3114661,1,2,0.4407,0.2219,-0.4407,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3114667,1,2,0.4448,0.4438,-0.4448,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3115435,1,2,1.737,1.894,-1.737,,,,,NTP,NTP
3119307,1,2,0.4469,0.3336,-0.4469,,,,,NTP,NTP
3120320,1,2,5.3679999999999986,1.4240000000000002,-5.3679999999999986,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3120650,1,4,1.47,1.053,-1.47,,,,,NTP,NTP
3130548,1,2,0.4414,0.3469,-0.4414,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3217554,1,2,0.3646,0.3611,-0.3646,,,,,NTP,NTP
3222183,1,3,0.9267,1.029,-0.9267,,,,,NTP,NTP
3223460,1,2,0.6920000000000001,0.7036,-0.6920000000000001,,,,,NTP,NTP
3230578,1,2,3.169,3.369,-3.169,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3230578,3,4,4.049,4.325,-4.049,,,,,NTP,NTP
3231120,1,2,1.953,0.6844,-1.953,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3231137,1,2,1.943,1.271,-1.943,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3231406,1,2,0.2563,0.1622,-0.2563,,,,,NTP,NTP
3232859,1,2,2.422,4.0310000000000015,-2.422,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3233043,1,2,0.4063,0.4871,-0.4063,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3240556,2,3,0.4338,0.3278,-0.4338,,,,,NTP,NTP
3240706,1,2,2.912,1.714,-2.912,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3241199,1,2,0.3594,0.3618,-0.3594,,,,,NTP,NTP
3241248,1,2,0.4906,-0.1625,-0.4906,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3241344,1,3,1.943,1.087,-1.943,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3241619,1,2,0.8533,0.4083,-0.8533,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3245638,1,2,0.7084,0.3551,-0.7084,,,,,NTP,NTP
3246890,1,2,1.113,1.882,-1.113,,,,,NTP,NTP
3247294,1,2,-16.39,-14.77,16.39,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3247503,1,2,0.4488,0.1688,-0.4488,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3247616,1,3,2.316,1.81,-2.316,,,,,NTP,NTP
3248332,1,2,3.488,0.5005,-3.488,,FALSE POSITIVE,,CERTIFIED FP,NTP,AFP
3323289,1,2,22.16,13.56,-22.16,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3326428,1,2,5.487,2.52,-5.487,,,,,NTP,NTP
3336283,1,2,6.45,2.134,-6.45,,,,,NTP,NTP
3336845,1,2,0.5,0.4125,-0.5,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3338674,1,2,0.9399,0.3,-0.9399,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3340070,2,3,32.72,-21.84,-32.72,,,,,NTP,NTP
3340070,5,6,-5.9670000000000005,21.82,5.9670000000000005,,,,,NTP,NTP
3340313,1,2,15.52,20.44,-15.52,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3340360,1,2,0.3854,0.3764,-0.3854,,,,,NTP,NTP
3341760,1,2,0.2458,0.3516,-0.2458,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3341934,1,2,9.835,6.715,-9.835,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3342467,1,2,43.06,11.95,-43.06,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3342592,1,2,8.8,5.782,-8.8,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3344419,1,2,0.6598,0.975,-0.6598,,FALSE POSITIVE,,CERTIFIED FP,NTP,AFP
3346027,1,2,4.481,1.614,-4.481,,,,,NTP,NTP
3347485,1,2,3.771,-0.8582,-3.771,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3352751,1,2,1.75,2.222,-1.75,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3427776,1,2,2.007,0.2813,-2.007,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3428468,1,2,9.045,-23.19,-9.045,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3440230,1,2,1.43,1.968,-1.43,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3441784,2,3,0.3042,0.3016,-0.3042,,,,,NTP,NTP
3442006,1,2,1.4780000000000002,0.9469,-1.4780000000000002,,,,,NTP,NTP
3442054,1,2,31.02,81.14,-31.02,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3442058,1,2,0.4667,0.5969,-0.4667,,,,,NTP,NTP
3443790,1,2,0.8173,-0.1688,-0.8173,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3446451,1,2,0.6667,0.7566,-0.6667,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3448456,1,2,0.3895,0.2906,-0.3895,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3454720,1,4,0.9808,1.04,-0.9808,,,,,NTP,NTP
3456780,2,3,0.303,0.4688,-0.303,,,,,NTP,NTP
3458919,1,2,0.45,0.2879,-0.45,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3459079,2,4,-0.8923,69.54,0.8923,,,,,NTP,NTP
3530668,1,2,0.975,0.39,-0.975,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3531231,1,2,35.4,35.29,-35.4,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3532985,1,2,2.643,1.823,-2.643,CANDIDATE,,POSSIBLE PLANET,,PC,NTP
3533195,1,2,0.4432,0.3281,-0.4432,,,,,NTP,NTP
3533551,4,6,1.696,1.696,-1.696,,,,,NTP,NTP
3543270,1,2,2.084,0.7645,-2.084,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3547091,1,2,1.656,1.4880000000000002,-1.656,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3548639,1,2,9.007,6.492000000000001,-9.007,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3554600,1,2,2.994,-0.9876,-2.994,,FALSE POSITIVE,,CERTIFIED FP,NTP,AFP
3556742,1,2,0.4105,0.2438,-0.4105,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3557293,1,2,0.3875,0.2968,-0.3875,,,,,NTP,NTP
3558981,1,2,1.496,-0.2917,-1.496,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3560301,1,2,2.341,1.335,-2.341,FALSE POSITIVE,,CERTIFIED FA,,NTP,NTP
3629496,5,7,-3.475,8.133,3.475,,,,,NTP,NTP
3634384,2,4,0.4359,0.3406,-0.4359,,,,,NTP,NTP
3635233,1,2,1.989,2.306,-1.989,,,,,NTP,NTP
3641023,1,2,0.3625,0.3595,-0.3625,,,,,NTP,NTP
3644071,1,2,-21.56,260.9,21.56,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3644523,1,3,-21.6,73.37,21.6,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3644542,1,2,21.56,2.316,-21.56,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3644601,1,2,-21.54,141.2,21.54,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3644601,3,4,-21.52,10.58,21.52,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3644602,1,2,239.2,-21.6,-239.2,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3644653,1,2,-21.6,28.65,21.6,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3644738,1,2,-21.58,141.2,21.58,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3645863,1,2,0.7974,0.504,-0.7974,,,,,NTP,NTP
3655326,1,2,8.555,8.8,-8.555,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3656913,1,3,3.531,-0.9672,-3.531,,,,,NTP,NTP
3659186,1,4,1.179,1.182,-1.179,,,,,NTP,NTP
3660392,1,2,1.249,0.7969,-1.249,,,,,NTP,NTP
3661206,3,4,0.7016,0.7054,-0.7016,,,,,NTP,NTP
3661344,1,2,0.3375,-0.1625,-0.3375,,,,,NTP,NTP
3662635,1,2,0.4707,0.2219,-0.4707,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3662838,2,3,2.227,-1.258,-2.227,,,,,NTP,NTP
3733346,1,2,0.4458,-0.1469,-0.4458,,,,,NTP,NTP
3734868,1,2,6.157,4.668,-6.157,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3742855,1,2,3.162,2.793,-3.162,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3749389,1,2,3.727,2.05,-3.727,,,,,NTP,NTP
3749404,2,4,1.882,8.31,-1.882,,,,,NTP,NTP
3757588,1,2,13.7,-4.3180000000000005,-13.7,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3757590,3,4,271.2,-4.053,-271.2,,,,,NTP,NTP
3757778,1,2,23.91,14.21,-23.91,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3758403,1,2,0.4849,0.4833,-0.4849,,,,,NTP,NTP
3759394,1,2,-0.2094,0.5,0.2094,,,,,NTP,NTP
3831911,1,2,3.175,9.642,-3.175,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3832716,1,2,0.5708,0.3625,-0.5708,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3834322,1,2,0.4937,-0.15,-0.4937,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3834364,1,2,1.454,1.262,-1.454,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3836413,1,2,0.7719,0.4421,-0.7719,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3836439,1,2,0.7688,0.2656,-0.7688,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3836453,1,2,0.7688,-0.1438,-0.7688,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3836727,1,2,3.1060000000000003,1.703,-3.1060000000000003,,,,,NTP,NTP
3847660,1,2,1.136,1.137,-1.136,,,,,NTP,NTP
3847708,1,2,1.882,0.5208,-1.882,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3848972,1,2,0.3827,-0.1473,-0.3827,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3850551,1,3,1.798,1.308,-1.798,,,,,NTP,NTP
3851949,1,2,35.32,40.26,-35.32,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3852258,1,2,3.0660000000000003,2.13,-3.0660000000000003,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3858804,1,2,-5.987,9.776,5.987,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3858824,1,2,-5.9670000000000005,12.29,5.9670000000000005,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3858851,1,2,-5.973,12.5,5.973,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3858879,1,2,-5.9670000000000005,2.139,5.9670000000000005,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3858884,1,2,-5.96,7.09,5.96,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3858884,3,6,1.169,-4.2639999999999985,-1.169,,,,,NTP,NTP
3858884,4,5,0.5406,-5.367000000000001,-0.5406,,,,,NTP,NTP
3858917,1,2,-5.96,-3.76,5.96,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3858919,1,2,5.939,9.524,-5.939,,FALSE POSITIVE,,CERTIFIED FP,NTP,AFP
3858949,1,2,-5.96,8.119,5.96,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3858988,1,2,-5.9670000000000005,6.852,5.9670000000000005,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3859151,1,2,-6.047999999999999,4.019,6.047999999999999,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3861595,1,2,1.904,2.224,-1.904,CONFIRMED,,POSSIBLE PLANET,,PC,NTP
3862246,1,2,2.297,1.75,-2.297,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3864443,1,2,0.4875,-0.1438,-0.4875,,,,,NTP,NTP
3865567,1,2,7.744,2.279,-7.744,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3865595,1,2,2.7880000000000003,4.148,-2.7880000000000003,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3866709,1,2,0.4695,0.6771,-0.4695,,,,,NTP,NTP
3867794,1,2,0.5031,0.2416,-0.5031,CANDIDATE,,POSSIBLE PLANET,,PC,NTP
3868284,2,3,-0.1906,0.5061,0.1906,,,,,NTP,NTP
3869326,1,2,5.7070000000000025,6.0420000000000025,-5.7070000000000025,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3869825,1,2,2.233,1.866,-2.233,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3938073,1,2,7.247000000000001,-5.626,-7.247000000000001,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3941283,1,2,0.3137,0.4605,-0.3137,,,,,NTP,NTP
3945892,1,2,-0.8708,1.367,0.8708,,,,,NTP,NTP
3955866,1,2,-32.79,-68.21,32.79,,,,,NTP,NTP
3955867,1,4,1.287,16.7,-1.287,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3955867,2,3,16.94,16.03,-16.94,,,,,NTP,NTP
3957477,1,2,0.4875,0.6718,-0.4875,,,,,NTP,NTP
3958301,1,2,-35.23,-35.28,35.23,,FALSE POSITIVE,,CERTIFIED FP,NTP,AFP
3962728,1,2,-6.001,10.29,6.001,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3962872,1,2,-5.98,-1.73,5.98,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3964545,1,2,1.504,1.758,-1.504,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3964562,1,2,1.504,1.037,-1.504,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3966262,1,2,2.702,3.047,-2.702,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3966912,1,2,29.47,6.322,-29.47,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3970117,1,2,-22.24,-2.071,22.24,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3970233,1,2,4.087,2.963,-4.087,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3971315,1,2,4.95,-1.105,-4.95,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
3973504,1,2,2.158,0.9156,-2.158,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
4035667,2,3,0.2667,0.1697,-0.2667,,,,,NTP,NTP
4035675,1,2,1.4340000000000002,-0.2625,-1.4340000000000002,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
4037163,1,2,0.3188,-0.1438,-0.3188,,FALSE POSITIVE,,CERTIFIED FP,NTP,AFP
4037164,1,2,0.3156,0.2417,-0.3156,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
4037428,1,2,2.133,2.708,-2.133,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
4042026,1,2,10.2,25.59,-10.2,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
4042590,1,2,0.5313,0.5185,-0.5313,,,,,NTP,NTP
4043443,1,2,-24.21,45.18,24.21,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
4048168,1,2,2.146,1.937,-2.146,,,,,NTP,NTP
4049124,1,2,2.414,1.859,-2.414,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
4054905,1,2,190.3,2.016,-190.3,,,,,NTP,NTP
4054905,4,5,-14.5,-8.03,14.5,,,,,NTP,NTP
4055092,1,2,27.13,37.78,-27.13,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
4055765,2,3,2.35,2.148,-2.35,,,,,NTP,NTP
4067549,1,2,3.85,-0.7016,-3.85,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
4069213,1,2,2.524,1.785,-2.524,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
4070376,1,2,0.8179,-0.2721,-0.8179,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
4074640,3,6,1.117,2.463,-1.117,,,,,NTP,NTP
4075064,1,2,41.39,20.2,-41.39,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
4075067,1,2,13.0,-2.9560000000000004,-13.0,CANDIDATE,,POSSIBLE PLANET,,PC,NTP
4077901,1,2,6.034,-2.881,-6.034,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
4078157,1,2,9.794,10.41,-9.794,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
4078693,1,2,1.378,1.675,-1.378,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
4079482,2,3,0.4894,0.2417,-0.4894,,,,,NTP,NTP
4079530,1,2,6.428,7.785,-6.428,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
4139254,1,2,3.4330000000000003,1.616,-3.4330000000000003,,,,,NTP,NTP
4141670,1,3,1.144,1.415,-1.144,,,,,NTP,NTP
4142768,1,2,0.4223,0.8037,-0.4223,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
4149684,1,2,2.169,-0.7,-2.169,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
4150390,1,2,35.87,32.5,-35.87,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
4150496,1,2,6.299,5.942,-6.299,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
4150539,1,2,6.303,3.194,-6.303,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
4150611,1,2,6.299,1.329,-6.299,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
4150624,1,2,2.357,3.169,-2.357,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
4150701,1,2,2.349,5.3870000000000005,-2.349,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
4157052,1,2,0.3938,0.2906,-0.3938,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
4159347,1,2,4.526,4.958,-4.526,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
4168574,1,2,0.3039,0.1656,-0.3039,,,,,NTP,NTP
4169315,1,2,30.96,30.96,-30.96,FALSE POSITIVE,,CERTIFIED FA,,NTP,NTP
4170631,2,3,0.2313,0.2375,-0.2313,,,,,NTP,NTP
4177905,1,2,0.2921,0.1813,-0.2921,,,,,NTP,NTP
4180396,1,2,1.121,1.632,-1.121,FALSE POSITIVE,,CERTIFIED FA,,NTP,NTP
4180401,1,2,9.581,10.43,-9.581,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
4247092,1,2,0.3188,1.621,-0.3188,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
