target_id,primary_tce,secondary_tce,tce_maxmesd_primary,tce_maxmesd_secondary,tce_maxmesd_secondary_new,koi_disposition_primary,koi_disposition_secondary,fpwg_disp_status_primary,fpwg_disp_status_secondary,label_primary,label_secondary
1026032,1,2,4.455,1.723,-4.455,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
1160891,1,2,0.3343,0.325,-0.3343,,,,,NTP,NTP
1162150,2,3,0.2813,0.2881,-0.2813,,,,,NTP,NTP
1293031,1,2,0.5266,0.6062,-0.5266,FALSE POSITIVE,,CERTIFIED FA,,NTP,NTP
1432214,1,2,16.78,-10.61,-16.78,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
1433980,1,2,0.7969,1.068,-0.7969,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
1434660,3,5,0.2094,0.2125,-0.2094,,,,,NTP,NTP
1571511,1,2,7.37,0.5381,-7.37,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
1573174,2,3,0.2063,0.2131,-0.2063,,,,,NTP,NTP
1575977,1,2,0.338,0.3383,-0.338,,,,,NTP,NTP
1576144,2,3,0.2375,-0.375,-0.2375,,,,,NTP,NTP
1849235,1,2,0.3678,0.3063,-0.3678,,,,,NTP,NTP
1870849,1,2,0.2729,0.2656,-0.2729,,,,,NTP,NTP
1995732,1,2,32.22,0.9876,-32.22,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2011424,1,2,0.2083,0.1813,-0.2083,,,,,NTP,NTP
2021440,1,2,3.003,2.169,-3.003,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2141938,1,2,0.7293,0.7901,-0.7293,,,,,NTP,NTP
2157247,1,2,0.504,-1.125,-0.504,,,,,NTP,NTP
2161623,1,2,1.144,0.8354,-1.144,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2165352,1,2,0.831,-0.2938,-0.831,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2167890,1,2,1.327,1.867,-1.327,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2168333,1,2,0.6334,0.6291,-0.6334,,,,,NTP,NTP
2297728,1,2,0.55,0.5381,-0.55,,,,,NTP,NTP
2303365,1,2,0.3113,0.3207,-0.3113,,,,,NTP,NTP
2304235,1,2,0.2862,0.1813,-0.2862,,,,,NTP,NTP
2306740,1,2,5.36,1.56,-5.36,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2307199,1,2,0.2667,9.038,-0.2667,CANDIDATE,,NOT EXAMINED,,NTP,NTP
2307206,1,2,103.4,104.7,-103.4,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2307533,2,3,-1.934,-1.928,1.934,,,,,NTP,NTP
2309585,1,2,0.9125,1.154,-0.9125,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2310284,4,5,18.23,18.22,-18.23,,,,,NTP,NTP
2436378,1,2,4.261,2.008,-4.261,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2437060,1,2,1.601,0.7694,-1.601,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2437112,1,2,9.195,12.65,-9.195,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2437149,1,2,9.195,2.289,-9.195,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2437505,1,2,12.15,-4.72,-12.15,CANDIDATE,,POSSIBLE PLANET,,PC,NTP
2437783,1,2,3.75,-1.163,-3.75,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2438490,1,2,1.651,0.8,-1.651,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2438502,1,2,4.758,4.737,-4.758,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2442084,1,2,8.976,-7.575,-8.976,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2445129,1,2,2.786,1.968,-2.786,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2445134,1,2,4.209,-0.4632,-4.209,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2445975,1,2,0.2292,-0.4202,-0.2292,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2449074,1,2,2.472,2.75,-2.472,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
2449090,1,2,2.475,-0.7315,-2.475,FALSE POSITIVE,,CERTIFIED FP,,AFP,NTP
