target_id,tce_plnt_num,tce_rogue_flag,tce_datalink_dvs,tce_datalink_dvr,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_ror,tce_ror_err,tce_dor,tce_dor_err,tce_incl,tce_incl_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_ingress,tce_ingress_err,transit_depth,tce_depth_err,tce_eccen,tce_eccen_err,tce_longp,tce_longp_err,tce_num_transits,tce_model_snr,tce_robstat,tce_prad,tce_prad_err,tce_sma,tce_sma_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_nkoi,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_smet,tce_smet_err,tce_sradius,tce_sradius_err,wst_robstat,wst_depth,tce_maxmes,tce_maxmesd,tce_max_sngle_ev,tce_max_mult_ev,tce_bin_oedp_stat,tce_albedo,tce_albedo_err,tce_ptemp,tce_ptemp_err,tce_albedo_stat,tce_ptemp_stat,boot_fap,tce_cap_stat,tce_hap_stat,tce_rb_tcount0,tce_fwm_stat,tce_fwm_srao,tce_fwm_srao_err,tce_fwm_sdeco,tce_fwm_sdeco_err,tce_fwm_prao,tce_fwm_prao_err,tce_fwm_pdeco,tce_fwm_pdeco_err,tce_dicco_msky,tce_dicco_msky_err,tce_dikco_msky,tce_dikco_msky_err,mag,tce_steff_err1,tce_steff_err2,tce_slogg_err1,tce_slogg_err2,tce_smet_err1,tce_smet_err2,tce_sradius_err1,tce_sradius_err2,tce_smass,tce_smass_err1,tce_smass_err2,tce_sdens,tce_sdens_err1,tce_dens_serr2,ra,dec,kepoi_name,kepler_name,koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_comment,koi_period,koi_time0bk,koi_eccen,koi_impact,koi_duration,koi_ingress,koi_depth,koi_ror,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_datalink_dvr,koi_datalink_dvs,fpwg_disp_status,fpwg_disp_source,fpwg_disp_eb,fpwg_disp_offst,fpwg_disp_perep,fpwg_disp_other,label,wst_depth_original,tce_maxmes_original,tce_albedo_original,tce_ptemp_original,tce_albedo_stat_original,tce_ptemp_stat_original,tceid
5036761,5,0,005/005036/005036761/dv/kplr005036761-005-20160209194854_dvs.pdf,005/005036/005036761/dv/kplr005036761-20160209194854_dvr.pdf,123.036,0.00104436,147.187,0.00844836,0.024295887,0.020806506,220.00633,1055.5535,89.79,1.53,0.818,1.951,2.634,1.739,0.1808,1.902,567.1,87.33,0,0,0,0,3,8.065,7.714,3.346,3.066,0.5197,0.1408,458.0,47.3,10.38,4.29,0,6661,234,4.328,0.21,-0.12,0.3,2.335,0.412,3.182,312.3,4.556,-13.61,7.294,9.099,0.2709,4145.0,7463.0,5678.35,2503.45,0.5553,2.085,5.6883e-11,3.882,-0.2699,2,5.1359,0.1409,0.628,-0.858,0.541,-0.0001434,0.000382,0.0004064,0.000355,0.59551,0.446,0.55846,0.491,13.345,167.0,-234.0,0.07,-0.21,0.25,-0.3,0.412,-0.176,1.245,0.187,-0.168,0.8713,0.3224,-0.4512,297.91812,40.114761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,312.3,4.556,4145.0,5678.35,0.5553,2.085,5036761-5
10979359,1,0,010/010979/010979359/dv/kplr010979359-001-20160209194854_dvs.pdf,010/010979/010979359/dv/kplr010979359-20160209194854_dvr.pdf,0.922618,8.21958e-05,132.286,0.014057,0.00234251,0.0027674548,1.1732831,2.16585,64.78,599.5,0.5,10.18,6.757,0.6524,0.03107,0.4536,6.065,6.505,0,0,0,0,1463,1.167,7.544,0.4415,0.5375,0.02097,0.005096,2910.0,281.0,16911.84,6525.59,0,7265,304,4.123,0.19,-0.22,0.35,2.04,0.508,-0.9973,-11.03,2.193,0.3709,3.438,9.674,0.07701,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,2.211,1.069,1396,0.54745,0.3192,2.01,0.5379,1.72,-1.444e-06,1.22e-05,-4.371e-06,1.04e-05,0.2813,0.283,0.38967,0.28,13.142,228.0,-304.0,0.153,-0.187,0.25,-0.35,0.508,-0.416,1.442,0.219,-0.241,0.3944,0.3603,-0.1869,293.61911,48.445549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,-11.03,2.193,0.0,0.0,0.0,0.0,10979359-1
11823054,1,0,011/011823/011823054/dv/kplr011823054-001-20160209194854_dvs.pdf,011/011823/011823054/dv/kplr011823054-20160209194854_dvr.pdf,4.302139338,4.21118e-06,134.721,0.000662787,0.030356394,0.002142726,7.556767,1.981691,83.16,2.248,0.8998,0.05842,2.201,0.1499,0.3085,0.1937,735.3,14.11,0,0,0,0,307,60.81,57.64,2.839,0.2966,0.04821,0.003774,938.0,33.9,182.83,26.46,2,5120,83,4.479,0.08,-0.02,0.15,0.796,0.066,2.15,26.07,2.539,1.26,6.132,53.67,0.001357,4.137,1.889,2067.51,228.92,1.661,4.882,0.0,34.06,4.755,292,4.791,0.09868,0.234,0.6777,0.244,-0.0001,0.000174,-0.0002051,0.000183,0.19225,0.118,0.12095,0.107,14.707,83.0,-75.0,0.077,-0.033,0.15,-0.15,0.041,-0.066,0.807,0.052,-0.028,1.804,0.5351,-0.1903,296.1514,50.09581,K00543.01,Kepler-181 c,CONFIRMED,1.0,0.0,0.0,0.0,0.0,NO_COMMENT,4.302139338,173.438922,0.0,0.652,2.0289,,747.2,0.026296,2.46,0.0482,87.09,937.0,182.7,12.86,6.131934,53.66932,65.5,2.0,307.0,1.0,q1_q17_dr25_tce,011/011823/011823054/dv/kplr011823054-20160209194854_dvr.pdf,011/011823/011823054/dv/kplr011823054-001-20160209194854_dvs.pdf,NOT EXAMINED,,,,,,PC,26.07,2.539,4.137,2067.51,1.661,4.882,11823054-1
4375408,1,0,004/004375/004375408/dv/kplr004375408-001-20160209194854_dvs.pdf,004/004375/004375408/dv/kplr004375408-20160209194854_dvr.pdf,1.18313,3.76173e-05,132.216,0.00856064,0.0032633199,0.0020756882,1.2357221,1.4764698,57.66,206.5,0.661,2.973,7.303,0.4782,0.05415,0.4102,11.27,2.848,0,0,0,0,916,4.043,9.891,0.672,0.5074,0.02283,0.009527,2570.0,453.0,10369.43,7299.79,0,6418,227,3.941,0.41,-0.42,0.3,2.939,0.768,4.238,15.31,5.142,0.4768,3.312,9.126,0.7048,9.728,14.4,7026.09,2314.46,0.606,1.888,-1.0,0.0,0.0,865,0.0,-2.412,1.15,-1.521,1.36,2.118e-05,1.3e-05,0.0,-1.0,3.4326,1.28,3.7927,1.37,10.025,181.0,-227.0,0.413,-0.138,0.3,-0.3,0.448,-0.768,1.133,0.169,-0.188,0.2375,0.8239,-0.0917,294.22253,39.471722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,15.31,5.142,9.728,7026.09,0.606,1.888,4375408-1
10339872,1,0,010/010339/010339872/dv/kplr010339872-001-20160209194854_dvs.pdf,010/010339/010339872/dv/kplr010339872-20160209194854_dvr.pdf,309.041,0.00575139,185.4,0.0136925,0.029975879,0.017482843,166.90458,355.2822,89.88,2.034,0.3619,5.155,13.64,1.983,0.4549,2.21,1085.0,145.5,0,0,0,0,4,7.817,7.074,2.643,1.584,0.8369,0.09655,227.0,11.7,0.63,0.13,0,5245,158,4.536,0.09,-0.06,0.3,0.799,0.112,1.668,235.0,3.68,121.7,8.739,8.206,9.325,12960.0,17310.0,3750.16,1247.22,0.7489,2.824,1.7146e-10,4.087,-1.875,4,2.5122,1.034,1.23,0.8241,1.24,-0.0009726,0.00139,-0.0009639,0.00147,0.0,-1.0,0.0,-1.0,15.698,158.0,-158.0,0.06,-0.09,0.3,-0.3,0.112,-0.075,0.818,0.085,-0.078,2.185,0.5402,-0.6163,291.98016,47.478802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,235.0,3.68,12960.0,3750.16,0.7489,2.824,10339872-1
7174617,3,0,007/007174/007174617/dv/kplr007174617-003-20160209194854_dvs.pdf,007/007174/007174617/dv/kplr007174617-20160209194854_dvr.pdf,1.60943,1.91961e-05,132.385,0.00310048,0.013485682,0.014359155,4.1997319,18.399122,77.69,69.48,0.8956,1.052,1.424,0.7634,0.09157,0.9621,151.5,42.01,0,0,0,0,585,4.153,6.814,0.8668,0.9249,0.02254,0.001379,1130.0,42.9,389.27,59.02,1,5027,151,4.668,0.05,-1.1,0.3,0.913,0.041,4.288,217.2,4.152,0.8906,4.608,8.71,0.05128,80.77,172.7,5249.79,2808.53,0.4618,1.466,-1.0,-2.801,5.087,538,0.0,-0.5522,0.671,0.064,0.747,0.0,-1.0,-4.179e-05,0.000115,0.088613,0.45,0.29918,0.462,13.819,151.0,-151.0,0.052,-0.036,0.3,-0.3,0.041,-0.037,0.589,0.052,-0.022,4.053,0.8582,-0.543,281.59381,42.710011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,217.2,4.152,80.77,5249.79,0.4618,1.466,7174617-3
10462462,1,0,010/010462/010462462/dv/kplr010462462-001-20160209194854_dvs.pdf,010/010462/010462462/dv/kplr010462462-20160209194854_dvr.pdf,0.855816,3.90126e-06,132.145,0.00211103,0.15389033,0.0014897101,1.1342523,0.005041059,42.18,0.5177,0.8406,0.004481,10.27,4.682e-05,4.734,0.1902,21410.0,375.1,0,0,0,0,77,94.16,70.73,7.288,0.6921,0.01361,0.0009538,917.0,27.2,167.57,19.84,1,3686,73,4.825,0.04,-0.2,0.1,0.699,0.041,-0.2399,-60.02,1.444,0.312,7.628,31.97,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,26.75,1.538,77,13.843,-0.1474,0.0616,0.158,0.0714,-0.0003239,0.0204,-0.002199,0.0302,0.14692,0.067,0.23729,0.067,16.951,65.0,-73.0,0.04,-0.04,0.1,-0.1,0.034,-0.041,0.459,0.032,-0.046,7.912,1.777,-1.208,288.49582,47.640781,K08013.01,,FALSE POSITIVE,0.0,0.0,1.0,0.0,0.0,SWEET_EB---MOD_SEC_ALT---CENT_FEW_DIFFS,0.85581563,132.1452541,,,10.27,,,,,,,,,,7.62834,31.968304,,1.0,77.0,1.0,q1_q17_dr25_tce,010/010462/010462462/dv/kplr010462462-20160209194854_dvr.pdf,010/010462/010462462/dv/kplr010462462-001-20160209194854_dvs.pdf,CERTIFIED FP,1.0,1.0,0.0,0.0,0.0,AFP,-60.02,1.444,0.0,0.0,0.0,0.0,10462462-1
7973867,3,0,007/007973/007973867/dv/kplr007973867-003-20160209194854_dvs.pdf,007/007973/007973867/dv/kplr007973867-20160209194854_dvr.pdf,114.928,0.00249249,172.607,0.0174987,0.014650119,0.0069405492,65.74576,182.82211,89.38,3.426,0.7069,1.965,9.72,1.74,0.2767,1.668,222.0,37.85,0,0,0,0,9,7.259,7.691,2.644,1.471,0.5125,0.121,559.0,52.6,23.09,8.68,0,7059,313,4.134,0.17,-0.28,0.35,2.507,0.482,4.615,189.1,5.22,21.25,7.122,9.01,0.2521,3907.0,4153.0,6833.13,1751.48,0.9406,3.581,1.325e-11,-0.9014,2.978,9,0.78426,-0.362,0.726,-0.3608,0.742,6.437e-05,0.000163,5.772e-05,0.000168,1.1375,1.23,1.1105,1.24,13.963,199.0,-313.0,0.175,-0.175,0.25,-0.35,0.482,-0.395,1.363,0.214,-0.235,0.4242,0.4067,-0.2062,296.35452,43.73291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,189.1,5.22,3907.0,6833.13,0.9406,3.581,7973867-3
5636882,2,0,005/005636/005636882/dv/kplr005636882-002-20160209194854_dvs.pdf,005/005636/005636882/dv/kplr005636882-20160209194854_dvr.pdf,1.25519,1.44823e-05,131.918,0.0053264,0.013850961,0.020283567,1.7478582,9.46713,75.46,587.5,0.4388,14.97,5.472,1.474,0.1031,1.82,216.5,22.21,0,0,0,0,1076,12.17,11.91,4.119,6.271,0.02821,0.01093,3480.0,548.0,34550.82,21769.81,0,8022,335,3.846,0.35,-0.28,0.3,2.125,1.135,-1.0,0.0,0.0,0.6276,3.354,10.8,0.06919,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,13.16,13.13,1028,8.8445,-0.04417,0.0522,0.05011,0.0492,1.672e-05,1.73e-05,-1.128e-05,2.03e-05,0.10165,0.0845,0.099721,0.0875,12.042,223.0,-335.0,0.352,-0.088,0.2,-0.3,0.355,-1.135,1.902,0.077,-0.464,0.1324,0.3938,-0.03594,296.38712,40.870781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,0.0,0.0,0.0,0.0,0.0,0.0,5636882-2
3426367,2,0,003/003426/003426367/dv/kplr003426367-002-20160209194854_dvs.pdf,003/003426/003426367/dv/kplr003426367-20160209194854_dvr.pdf,325.077,0.00525398,388.151,0.00896323,0.029783548,0.014155337,381.82382,728.6793,89.87,0.3294,0.8721,0.5313,3.562,1.496,0.3983,1.741,778.1,141.3,0,0,0,0,4,6.499,7.847,1.407,0.6949,0.7195,0.07527,123.0,5.23,0.05,0.01,1,3628,85,4.837,0.07,0.07,0.15,0.483,0.058,0.2354,20.51,3.031,123.9,7.496,8.099,0.0,2949.0,16740.0,1405.68,1994.67,0.1761,0.6429,1.1255e-11,-0.3023,-0.6022,4,7.9161,0.5398,1.76,0.7137,1.65,-0.000897,0.00141,-0.001742,0.00134,1.2748,1.09,1.4819,1.52,14.488,71.0,-85.0,0.038,-0.071,0.15,-0.15,0.058,-0.048,0.47,0.047,-0.057,8.148,1.828,-1.979,285.92889,38.520981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,20.51,3.031,2949.0,1405.68,0.1761,0.6429,3426367-2
