target_id,tce_plnt_num,tce_rogue_flag,tce_datalink_dvs,tce_datalink_dvr,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_ror,tce_ror_err,tce_dor,tce_dor_err,tce_incl,tce_incl_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_ingress,tce_ingress_err,transit_depth,tce_depth_err,tce_eccen,tce_eccen_err,tce_longp,tce_longp_err,tce_num_transits,tce_model_snr,tce_robstat,tce_prad,tce_prad_err,tce_sma,tce_sma_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_nkoi,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_smet,tce_smet_err,tce_sradius,tce_sradius_err,wst_robstat,wst_depth,tce_maxmes,tce_maxmesd,tce_max_sngle_ev,tce_max_mult_ev,tce_bin_oedp_stat,tce_albedo,tce_albedo_err,tce_ptemp,tce_ptemp_err,tce_albedo_stat,tce_ptemp_stat,boot_fap,tce_cap_stat,tce_hap_stat,tce_rb_tcount0,tce_fwm_stat,tce_fwm_srao,tce_fwm_srao_err,tce_fwm_sdeco,tce_fwm_sdeco_err,tce_fwm_prao,tce_fwm_prao_err,tce_fwm_pdeco,tce_fwm_pdeco_err,tce_dicco_msky,tce_dicco_msky_err,tce_dikco_msky,tce_dikco_msky_err,mag,tce_steff_err1,tce_steff_err2,tce_slogg_err1,tce_slogg_err2,tce_smet_err1,tce_smet_err2,tce_sradius_err1,tce_sradius_err2,tce_smass,tce_smass_err1,tce_smass_err2,tce_sdens,tce_sdens_err1,tce_dens_serr2,ra,dec,kepoi_name,kepler_name,koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_comment,koi_period,koi_time0bk,koi_eccen,koi_impact,koi_duration,koi_ingress,koi_depth,koi_ror,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_datalink_dvr,koi_datalink_dvs,fpwg_disp_status,fpwg_disp_source,fpwg_disp_eb,fpwg_disp_offst,fpwg_disp_perep,fpwg_disp_other,label,wst_depth_original,tce_maxmes_original,tce_albedo_original,tce_ptemp_original,tce_albedo_stat_original,tce_ptemp_stat_original,tceid
7904375,1,0,007/007904/007904375/dv/kplr007904375-001-20160209194854_dvs.pdf,007/007904/007904375/dv/kplr007904375-20160209194854_dvr.pdf,0.534413,-1.0,131.986,-1.0,0.032116159,-1.0,2.8615938,-1.0,88.0,-1.0,0.1,-1.0,1.5,-1.0,0.04915,-1.0,1289.0,-1.0,0,-1,0,-1,2512,-1.0,15.86,2.005,-1.0,0.01063,-1.0,1390.0,-1.0,886.88,-1.0,0,4304,140,4.672,0.06,-0.52,0.3,1.106,0.059,2.965,15.51,2.355,0.25,4.755,13.86,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,1.2232e-41,4.024,13.99,2396,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,6.5765,0.543,6.2107,0.511,15.426,127.0,-140.0,0.059,-0.027,0.3,-0.3,0.049,-0.059,0.561,0.061,-0.046,4.222,1.139,-0.577,296.13605,43.617851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,15.51,2.355,0.0,0.0,0.0,0.0,7904375-1
5895083,1,0,005/005895/005895083/dv/kplr005895083-001-20160209194854_dvs.pdf,005/005895/005895083/dv/kplr005895083-20160209194854_dvr.pdf,2.25162,1.66854e-05,131.546,0.0038162,0.0051332627,0.0013751201,3.4252533,6.287822,74.77,36.07,0.9,0.4286,2.337,0.2681,0.06185,0.2659,23.71,2.979,0,0,0,0,595,9.223,9.177,1.223,0.5448,0.04421,0.01235,2930.0,306.0,17540.18,7311.08,1,9469,414,4.116,0.19,0.07,0.65,1.547,0.777,2.14,5.742,2.312,0.8333,3.9,8.892,0.02615,4.126,3.244,6466.25,1149.67,0.9635,2.969,2.9981e-18,-3.538,21.09,568,891.1,-19.4,1.35,-19.19,1.42,0.0004551,3.2e-05,0.000456,3.36e-05,10.021,0.0822,10.029,0.0773,13.085,301.0,-414.0,0.157,-0.192,0.15,-0.65,0.777,-0.565,2.272,0.395,-0.592,0.3071,0.2888,-0.1618,296.88562,41.19978,K07751.01,,FALSE POSITIVE,0.0,0.0,0.0,1.0,0.0,CENT_RESOLVED_OFFSET---HALO_GHOST,2.25161215,131.54653,0.0,0.647,2.1,,23.9,0.004761,1.14,0.0442,84.15,2934.0,17529.42,6.35,3.9002013,8.892041,9.2,1.0,595.0,1.0,q1_q17_dr25_tce,005/005895/005895083/dv/kplr005895083-20160209194854_dvr.pdf,005/005895/005895083/dv/kplr005895083-001-20160209194854_dvs.pdf,CERTIFIED FP,0.0,0.0,1.0,0.0,0.0,AFP,5.742,2.312,4.126,6466.25,0.9635,2.969,5895083-1
6697041,5,0,006/006697/006697041/dv/kplr006697041-005-20160209194854_dvs.pdf,006/006697/006697041/dv/kplr006697041-20160209194854_dvr.pdf,468.477,0.0130878,317.928,0.017001,0.034326914,0.0077049495,191.92026,147.16248,89.8,0.3361,0.684,0.6018,14.47,1.46,0.8784,1.528,1243.0,302.2,0,0,0,0,3,9.59,7.105,2.457,0.5999,1.019,0.08617,190.0,8.73,0.31,0.06,0,5372,177,4.612,0.07,-1.0,0.3,3.791,0.063,4.562,800.2,6.304,339.0,8.996,11.73,0.004778,75670.0,37570.0,4876.58,606.63,2.014,7.725,-1.0,3.866,2.55,3,10.951,1.274,0.424,-0.0859,0.322,-0.001396,0.00113,5.806e-05,0.00141,0.099777,0.817,0.024626,0.723,14.352,177.0,-145.0,0.072,-0.054,0.3,-0.3,0.063,-0.051,0.642,0.061,-0.024,3.21,0.9175,-0.5958,293.41461,42.19162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,800.2,6.304,75670.0,4876.58,2.014,7.725,6697041-5
5880320,3,0,005/005880/005880320/dv/kplr005880320-003-20160209194854_dvs.pdf,005/005880/005880320/dv/kplr005880320-20160209194854_dvr.pdf,20.4972755,0.000196431,147.456,0.00769149,0.014087536,0.0046393774,15.02975,24.830069,86.96,7.943,0.7979,0.7626,6.532,0.7936,0.2441,0.8948,193.5,16.69,0,0,0,0,51,11.46,10.35,2.241,0.9036,0.1447,0.03117,843.0,73.0,119.63,41.44,4,6360,120,4.093,0.2,-0.34,0.15,1.571,0.339,2.944,52.65,2.862,13.48,4.137,10.58,1.564,120.6,96.91,4321.19,792.31,1.235,4.371,9.6079e-25,10.15,3.291,49,1.2339,0.7105,0.73,0.1256,0.663,-0.0001008,0.000142,-3.412e-05,0.000129,0.34044,0.814,0.34166,0.815,14.348,120.0,-120.0,0.195,-0.105,0.15,-0.15,0.226,-0.339,0.96,0.088,-0.08,0.4365,0.4514,-0.1394,293.08463,41.135441,K01060.03,Kepler-758 d,CONFIRMED,1.0,0.0,0.0,0.0,0.0,NO_COMMENT,20.4972755,147.43894,0.0,0.966,8.536,,242.9,0.018577,2.96,0.1447,80.73,843.0,119.42,6.0,4.1373324,10.584614,22.8,4.0,51.0,3.0,q1_q17_dr25_tce,005/005880/005880320/dv/kplr005880320-20160209194854_dvr.pdf,005/005880/005880320/dv/kplr005880320-003-20160209194854_dvs.pdf,POSSIBLE PLANET,1.0,0.0,0.0,0.0,0.0,PC,52.65,2.862,120.6,4321.19,1.235,4.371,5880320-3
9655461,2,0,009/009655/009655461/dv/kplr009655461-002-20160209194854_dvs.pdf,009/009655/009655461/dv/kplr009655461-20160209194854_dvr.pdf,82.2265,0.00125195,175.438,0.01482,0.013516347,0.02192283,143.0918,1483.5786,89.64,4.628,0.9003,2.223,2.043,2.528,0.1366,3.097,161.5,33.61,0,0,0,0,4,9.418,9.544,2.518,4.151,0.4445,0.1115,689.0,70.4,53.26,21.78,0,7960,357,4.212,0.2,0.07,0.4,1.734,0.505,2.351,47.75,8.494,17.73,6.21,8.534,0.01803,818.8,2779.0,5697.21,4812.3,0.2943,1.041,1.5547e-07,-1.381,0.2861,4,1.5903,-0.8352,1.05,-0.1623,1.26,0.0001406,0.00017,5.772e-05,0.000205,2.4996,2.05,2.4931,2.05,12.043,219.0,-357.0,0.067,-0.202,0.25,-0.4,0.505,-0.233,1.731,0.202,-0.247,0.4902,0.176,-0.2517,294.36267,46.381577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,47.75,8.494,818.8,5697.21,0.2943,1.041,9655461-2
5722668,2,0,005/005722/005722668/dv/kplr005722668-002-20160209194854_dvs.pdf,005/005722/005722668/dv/kplr005722668-20160209194854_dvr.pdf,238.68,0.00441201,367.799,0.0144527,0.022092391,0.006762988,123.82431,128.84259,89.6,0.5581,0.8673,0.3039,7.965,1.355,0.6554,1.584,413.1,66.26,0,0,0,0,5,6.592,7.048,1.567,0.5032,0.6494,0.0504,187.0,8.0,0.29,0.05,0,4221,141,4.619,0.06,0.02,0.3,0.716,0.063,3.522,279.5,4.844,37.14,10.64,10.47,0.8267,26410.0,17930.0,3683.16,629.37,1.473,5.555,3.5799e-12,2.543,0.914,4,2.1891,0.531,1.32,0.8737,1.03,-8.454e-05,0.00055,-0.0003703,0.000439,0.3847,0.271,0.3524,0.269,14.241,115.0,-141.0,0.056,-0.016,0.25,-0.3,0.031,-0.063,0.64,0.056,-0.056,3.283,0.8273,-0.2823,296.45602,40.998348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,279.5,4.844,26410.0,3683.16,1.473,5.555,5722668-2
6068502,2,0,006/006068/006068502/dv/kplr006068502-002-20160209194854_dvs.pdf,006/006068/006068502/dv/kplr006068502-20160209194854_dvr.pdf,2.81706,0.0064501,133.367,1.02403,0.00086238308,0.0059206476,1.4462461,8.186739,51.13,358.6,0.9075,2.089,8.268,39.22,0.04229,0.9948,0.6476,8.507,0,0,0,0,146,0.07466,8.168,0.2327,1.6,0.0442,0.01404,2260.0,287.0,6176.53,3140.93,0,6853,204,3.813,0.28,-0.44,0.3,1.591,0.854,6.626,18.99,7.471,1.142,4.133,9.339,0.000394,376.7,5176.0,15397.29,52859.72,0.07258,0.2485,1.0343e-14,0.0,0.0,134,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.19631,0.247,0.24549,0.223,12.159,183.0,-204.0,0.285,-0.095,0.3,-0.25,0.46,-0.854,1.453,0.205,-0.308,0.1352,0.2642,-0.0403,298.64249,41.398411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,18.99,7.471,376.7,15397.29,0.07258,0.2485,6068502-2
11706658,2,0,011/011706/011706658/dv/kplr011706658-002-20160209194854_dvs.pdf,011/011706/011706658/dv/kplr011706658-20160209194854_dvr.pdf,303.736,0.00270273,207.042,0.00500951,0.071337826,0.047830794,628.89874,1193.9275,89.96,0.4168,0.4219,3.774,3.633,1.134,0.2905,1.314,6209.0,806.5,0,0,0,0,4,8.781,7.126,5.768,3.899,0.7978,0.05827,197.0,7.98,0.35,0.06,1,4630,140,4.564,0.06,0.16,0.3,0.714,0.063,2.191,1717.0,7.13,16.8,14.1,14.31,0.02951,18070.0,26400.0,3526.45,1288.69,0.6846,2.584,-1.0,-0.2463,2.435,4,3.9903,0.4981,0.209,0.596,0.275,-0.001997,0.0118,-0.001053,0.0183,0.095567,0.0792,0.4347,0.087,14.614,140.0,-140.0,0.06,-0.024,0.25,-0.3,0.036,-0.063,0.734,0.054,-0.054,2.541,0.6411,-0.2334,288.51208,49.864231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,1717.0,7.13,18070.0,3526.45,0.6846,2.584,11706658-2
5284647,2,0,005/005284/005284647/dv/kplr005284647-002-20160209194854_dvs.pdf,005/005284/005284647/dv/kplr005284647-20160209194854_dvr.pdf,389.602,0.00790681,224.367,0.0193854,0.0080130469,0.0010091305,71.280614,41.377636,89.38,0.5981,0.7761,0.2936,26.86,0.9481,0.5307,0.6612,64.02,11.48,0,0,0,0,3,7.66,7.737,1.761,0.8336,1.388,0.5092,530.0,71.4,18.72,10.08,0,10000,426,4.201,0.27,0.07,0.55,2.102,0.919,0.7283,7.795,6.703,-1.355,11.44,9.835,1.21,2665.0,5097.0,5892.21,2726.24,0.5228,1.966,-1.0,0.0,0.0,3,0.0,-4.034,2.47,-4.727,4.38,0.0002459,0.000158,0.0,-1.0,0.0,-1.0,0.0,-1.0,9.355,284.0,-426.0,0.144,-0.267,0.15,-0.55,0.919,-0.495,2.351,0.449,-0.549,0.4056,0.3613,-0.2474,294.5213,40.487621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,7.795,6.703,2665.0,5892.21,0.5228,1.966,5284647-2
6057401,4,0,006/006057/006057401/dv/kplr006057401-004-20160209194854_dvs.pdf,006/006057/006057401/dv/kplr006057401-20160209194854_dvr.pdf,9.04183,4.42381e-05,133.347,0.00406823,0.049467269,0.025328755,41.116481,125.14163,89.14,6.885,0.6194,3.055,1.423,0.6478,0.106,0.7054,2592.0,303.7,0,0,0,0,18,17.24,16.73,9.878,5.876,0.1005,0.02458,1410.0,137.0,938.43,363.67,0,7504,341,4.132,0.18,0.07,0.35,1.897,0.554,7.83,1149.0,8.88,-1.756,8.487,16.86,0.003339,65.45,72.53,6206.39,1659.67,0.8886,2.879,-1.0,3.676,-0.422,16,6.6436,0.09515,0.0356,-0.1107,0.0347,-0.000124,0.00214,-7.435e-05,0.00285,0.05858,0.194,0.011419,0.119,12.876,210.0,-341.0,0.12,-0.18,0.2,-0.35,0.554,-0.341,1.656,0.205,-0.251,0.3804,0.2176,-0.1876,296.02563,41.34898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,1149.0,8.88,65.45,6206.39,0.8886,2.879,6057401-4
