target_id,tce_plnt_num,tce_rogue_flag,tce_datalink_dvs,tce_datalink_dvr,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_ror,tce_ror_err,tce_dor,tce_dor_err,tce_incl,tce_incl_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_ingress,tce_ingress_err,transit_depth,tce_depth_err,tce_eccen,tce_eccen_err,tce_longp,tce_longp_err,tce_num_transits,tce_model_snr,tce_robstat,tce_prad,tce_prad_err,tce_sma,tce_sma_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_nkoi,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_smet,tce_smet_err,tce_sradius,tce_sradius_err,wst_robstat,wst_depth,tce_maxmes,tce_maxmesd,tce_max_sngle_ev,tce_max_mult_ev,tce_bin_oedp_stat,tce_albedo,tce_albedo_err,tce_ptemp,tce_ptemp_err,tce_albedo_stat,tce_ptemp_stat,boot_fap,tce_cap_stat,tce_hap_stat,tce_rb_tcount0,tce_fwm_stat,tce_fwm_srao,tce_fwm_srao_err,tce_fwm_sdeco,tce_fwm_sdeco_err,tce_fwm_prao,tce_fwm_prao_err,tce_fwm_pdeco,tce_fwm_pdeco_err,tce_dicco_msky,tce_dicco_msky_err,tce_dikco_msky,tce_dikco_msky_err,mag,tce_steff_err1,tce_steff_err2,tce_slogg_err1,tce_slogg_err2,tce_smet_err1,tce_smet_err2,tce_sradius_err1,tce_sradius_err2,tce_smass,tce_smass_err1,tce_smass_err2,tce_sdens,tce_sdens_err1,tce_dens_serr2,ra,dec,kepoi_name,kepler_name,koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_comment,koi_period,koi_time0bk,koi_eccen,koi_impact,koi_duration,koi_ingress,koi_depth,koi_ror,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_datalink_dvr,koi_datalink_dvs,fpwg_disp_status,fpwg_disp_source,fpwg_disp_eb,fpwg_disp_offst,fpwg_disp_perep,fpwg_disp_other,label,wst_depth_original,tce_maxmes_original,tce_albedo_original,tce_ptemp_original,tce_albedo_stat_original,tce_ptemp_stat_original,tceid
11295085,4,0,011/011295/011295085/dv/kplr011295085-004-20160209194854_dvs.pdf,011/011295/011295085/dv/kplr011295085-20160209194854_dvr.pdf,52.8037,0.00114547,169.082,0.0171528,0.0090662986,0.005385971,35.366026,126.55251,88.58,6.599,0.8793,0.9259,5.649,1.651,0.2173,1.687,74.78,17.62,0,0,0,0,13,4.573,7.453,2.187,1.416,0.325,0.07609,819.0,79.8,106.4,41.46,1,7120,255,3.964,0.21,-0.02,0.3,1.566,0.568,3.922,88.44,4.5,12.28,5.571,8.14,5.757,1074.0,1354.0,7248.49,2204.09,0.7923,2.915,4.0856e-11,3.048,1.864,13,4.7325,0.1819,0.794,0.809,0.864,-1.6e-05,5.95e-05,-7.131e-05,6.48e-05,0.34701,0.546,0.37374,0.677,12.321,170.0,-255.0,0.208,-0.128,0.25,-0.3,0.464,-0.568,1.641,0.179,-0.268,0.2139,0.2324,-0.08215,290.85852,49.052189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,88.44,4.5,1074.0,7248.49,0.7923,2.915,11295085-4
10729958,2,0,010/010729/010729958/dv/kplr010729958-002-20160209194854_dvs.pdf,010/010729/010729958/dv/kplr010729958-20160209194854_dvr.pdf,464.471,0.0241854,431.032,0.0335225,0.017829394,0.0025423428,97.855897,64.20028,89.47,0.4266,0.9004,0.1384,17.21,2.169,1.491,2.165,275.2,37.59,0,0,0,0,3,7.706,7.702,2.092,0.6816,1.163,0.2895,262.0,25.4,1.11,0.43,0,6171,206,4.363,0.2,-0.32,0.3,1.511,0.315,3.138,137.1,3.412,15.64,6.612,7.72,0.4458,23330.0,13300.0,5000.99,572.67,1.753,8.268,1.2894e-09,1.795,0.05712,3,2.0256,-1.792,1.55,-0.1929,1.51,0.0004932,0.000427,6.382e-05,0.000418,2.1991,0.505,2.0418,0.807,14.269,169.0,-206.0,0.124,-0.201,0.3,-0.3,0.315,-0.17,0.972,0.148,-0.111,1.101,0.626,-0.5339,291.35123,48.088181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,137.1,3.412,23330.0,5000.99,1.753,8.268,10729958-2
3542345,8,0,003/003542/003542345/dv/kplr003542345-008-20160209194854_dvs.pdf,003/003542/003542345/dv/kplr003542345-20160209194854_dvr.pdf,173.018,0.00188567,135.51,0.00874042,0.016351766,0.0025780185,110.49203,87.001945,89.53,0.4542,0.9027,0.1654,5.587,0.6752,0.456,0.7988,235.0,30.44,0,0,0,0,3,8.573,7.85,2.796,1.086,0.6926,0.1982,469.0,51.9,11.41,5.05,0,7052,335,4.218,0.21,0.07,0.35,1.458,0.556,2.965,98.99,5.743,37.33,5.685,8.165,0.2572,3341.0,2201.0,5509.44,767.1,1.517,6.556,-1.0,-0.4027,0.9853,3,3.1856,0.6684,0.751,0.9774,1.11,-0.0001893,0.000178,-9.456e-05,0.000261,0.794,1.23,1.0572,1.23,11.736,195.0,-335.0,0.09,-0.21,0.2,-0.35,0.556,-0.238,1.48,0.214,-0.214,0.5413,0.2277,-0.3054,290.78857,38.623531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,98.99,5.743,3341.0,5509.44,1.517,6.556,3542345-8
5786005,1,0,005/005786/005786005/dv/kplr005786005-001-20160209194854_dvs.pdf,005/005786/005786005/dv/kplr005786005-20160209194854_dvr.pdf,372.371,0.0121786,304.726,0.0223382,0.025192256,0.013184302,145.1633,303.85077,89.81,1.699,0.4887,3.283,17.66,2.462,0.5659,2.673,732.6,102.6,0,0,0,0,4,7.344,7.357,2.625,1.549,1.031,0.2431,241.0,22.8,0.79,0.3,0,5671,200,4.501,0.2,0.28,0.3,1.175,0.26,4.29,513.4,4.964,187.5,4.673,7.351,0.1991,43580.0,49260.0,5378.24,1457.11,0.8846,3.525,1.393e-08,3.561,2.603,4,0.72428,-1.022,2.53,-0.6762,2.51,0.000707,0.00186,0.0006121,0.00186,0.74362,0.419,0.71656,0.425,15.682,160.0,-200.0,0.046,-0.196,0.15,-0.3,0.26,-0.093,1.054,0.089,-0.133,1.705,0.4103,-0.8447,290.22,41.078499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,513.4,4.964,43580.0,5378.24,0.8846,3.525,5786005-1
7830341,6,0,007/007830/007830341/dv/kplr007830341-006-20160209194854_dvs.pdf,007/007830/007830341/dv/kplr007830341-20160209194854_dvr.pdf,481.1,0.00673964,607.751,0.00929961,0.0398451,0.0046940935,234.24974,78.537704,89.82,0.1116,0.7347,0.2103,11.55,0.711,0.9234,0.7094,1626.0,254.0,0,0,0,0,3,7.922,6.869,2.139,0.3444,0.9532,0.08164,120.0,4.79,0.05,0.01,0,3801,104,4.752,0.06,-0.2,0.2,0.492,0.054,4.37,1389.0,7.173,-104.6,8.96,11.52,2.441,151700.0,54320.0,3676.34,327.32,2.794,10.86,1.2377e-09,0.3731,1.119,2,4.7583,-0.9355,0.843,-0.5058,0.56,0.001128,0.00175,0.0009634,0.00175,0.71535,0.0784,0.94798,0.0996,14.5,95.0,-104.0,0.058,-0.036,0.2,-0.2,0.044,-0.054,0.499,0.046,-0.051,5.898,1.808,-0.7898,294.46198,43.524509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,1389.0,7.173,151700.0,3676.34,2.794,10.86,7830341-6
8702381,1,0,008/008702/008702381/dv/kplr008702381-001-20160209194854_dvs.pdf,008/008702/008702381/dv/kplr008702381-20160209194854_dvr.pdf,0.798411,-1.0,132.23,-1.0,0.011991477,-1.0,4.137675,-1.0,88.62,-1.0,0.1,-1.0,1.5,-1.0,0.01831,-1.0,167.6,-1.0,0,-1,0,-1,1691,-1.0,8.913,3.402,-1.0,0.01952,-1.0,3610.0,-1.0,40027.19,-1.0,0,7097,232,3.8,0.28,-0.3,0.3,1.493,0.854,3.621,6.36,3.56,0.289,3.514,8.203,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,1.7667e-15,1.568,-1.946,1617,2.4523,-0.1793,0.811,0.5621,0.787,1.137e-06,9.14e-06,-7.312e-06,8.87e-06,2.7013,1.76,2.7199,1.94,12.493,190.0,-232.0,0.277,-0.092,0.3,-0.25,0.46,-0.854,1.556,0.234,-0.286,0.1246,0.2362,-0.03697,296.50116,44.8895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,6.36,3.56,0.0,0.0,0.0,0.0,8702381-1
6697128,3,0,006/006697/006697128/dv/kplr006697128-003-20160209194854_dvs.pdf,006/006697/006697128/dv/kplr006697128-20160209194854_dvr.pdf,57.9708,0.000937565,187.018,0.0189807,0.01457765,0.030390615,324.13994,4121.945,89.93,5.571,0.4057,26.36,1.271,0.5744,0.02179,0.6015,236.4,44.24,0,0,0,0,4,13.83,13.5,3.053,6.392,0.3451,0.05723,778.0,47.9,86.8,21.36,0,7470,89,4.084,0.13,-0.04,0.2,1.802,0.378,10.03,170.0,10.08,-0.7458,9.474,14.2,1.477,1195.0,5009.0,7075.33,7401.51,0.2384,0.8508,2.2851e-10,-0.1546,0.2275,4,0.29731,0.2098,0.577,-0.1186,0.554,-4.968e-05,0.000139,6.277e-06,0.000136,0.82184,0.639,0.78236,0.63,12.294,74.0,-89.0,0.099,-0.132,0.1,-0.2,0.378,-0.283,1.628,0.132,-0.132,0.3245,0.1453,-0.1177,293.43845,42.17421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,170.0,10.08,1195.0,7075.33,0.2384,0.8508,6697128-3
8621150,1,0,008/008621/008621150/dv/kplr008621150-001-20160209194854_dvs.pdf,008/008621/008621150/dv/kplr008621150-20160209194854_dvr.pdf,376.502,0.0487447,144.673,0.0855349,0.029897704,0.0013674801,12.605371,0.98534304,85.62,0.3717,0.9618,0.007042,84.32,3.68,27.63,7.108,647.4,48.39,0,0,0,0,4,15.76,8.726,3.096,1.002,1.031,0.2786,258.0,27.3,1.05,0.45,0,6107,232,4.496,0.22,-0.2,0.3,0.899,0.304,1.799,78.44,2.873,-2.731,5.805,8.05,44.89,4780.0,3083.0,3321.64,442.11,1.55,6.916,9.5415e-14,-0.2198,0.5387,0,3.7648,0.801,0.636,-0.2932,0.671,-0.0005191,0.00042,0.0002414,0.000449,2.9564,1.26,2.9506,1.29,14.562,190.0,-232.0,0.054,-0.216,0.25,-0.3,0.304,-0.101,1.028,0.14,-0.14,1.697,0.4832,-0.8923,290.47284,44.739449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,78.44,2.873,4780.0,3321.64,1.55,6.916,8621150-1
6426158,3,0,006/006426/006426158/dv/kplr006426158-003-20160209194854_dvs.pdf,006/006426/006426158/dv/kplr006426158-20160209194854_dvr.pdf,0.608342,1.73378e-05,132.002,0.00382831,0.0016066164,0.0002061681,1.6349066,0.41353178,64.47,18.12,0.7046,0.2892,2.34,0.1005,0.008135,0.007068,2.65,0.613,0,0,0,0,1293,5.724,15.24,0.3662,0.1813,0.01888,0.00726,4710.0,661.0,116603.0,65436.81,0,10150,429,4.183,0.28,0.07,0.55,1.687,0.999,4.206,2.413,5.959,0.279,6.496,15.47,0.2163,3.529,2.218,9985.17,925.01,1.14,4.638,-1.0,0.0,0.0,1245,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,15.385,2.68,15.175,2.94,9.153,286.0,-429.0,0.151,-0.28,0.15,-0.55,0.999,-0.538,2.426,0.481,-0.481,0.3748,0.3561,-0.2385,285.38538,41.866478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,2.413,5.959,3.529,9985.17,1.14,4.638,6426158-3
9892471,1,0,009/009892/009892471/dv/kplr009892471-001-20160209194854_dvs.pdf,009/009892/009892471/dv/kplr009892471-20160209194854_dvr.pdf,8.26808,3.85374e-07,135.056,3.84979e-05,0.35069247,0.008860302,18.36622,0.020916646,87.19,0.04537,0.9003,0.01363,3.469,0.003076,1.734,0.001538,71190.0,39.95,0,0,0,0,158,1811.0,1869.0,35.28,10.49,0.07964,0.01991,863.0,83.8,131.18,50.92,1,5742,190,4.502,0.2,0.02,0.3,1.059,0.273,238.4,8244.0,260.0,4.133,245.3,2062.0,1.969,23.11,8.515,2925.25,103.62,2.596,15.48,0.0,760.8,287.8,154,6.1713,-0.06426,0.00606,0.1637,0.00533,-0.0007642,0.00815,-0.0003351,0.0119,0.0058522,0.0667,0.18873,0.0673,15.768,156.0,-190.0,0.05,-0.2,0.25,-0.3,0.273,-0.091,0.987,0.114,-0.114,1.771,0.4642,-0.8849,292.53125,46.728699,K03584.01,,FALSE POSITIVE,0.0,0.0,1.0,0.0,0.0,MOD_SEC_DV---MOD_SEC_ALT---DEEP_V_SHAPED---HAS_SEC_TCE,8.268081087,135.0563298,0.0,1.099,3.47103,,71479.0,0.499643,50.31,0.0797,86.62,863.0,130.83,18.62,245.29756,2061.6868,1320.5,1.0,158.0,1.0,q1_q17_dr25_tce,009/009892/009892471/dv/kplr009892471-20160209194854_dvr.pdf,009/009892/009892471/dv/kplr009892471-001-20160209194854_dvs.pdf,CERTIFIED FP,1.0,1.0,0.0,0.0,0.0,AFP,8244.0,260.0,23.11,2925.25,2.596,15.48,9892471-1
