target_id,tce_plnt_num,tce_rogue_flag,tce_datalink_dvs,tce_datalink_dvr,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_ror,tce_ror_err,tce_dor,tce_dor_err,tce_incl,tce_incl_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_ingress,tce_ingress_err,transit_depth,tce_depth_err,tce_eccen,tce_eccen_err,tce_longp,tce_longp_err,tce_num_transits,tce_model_snr,tce_robstat,tce_prad,tce_prad_err,tce_sma,tce_sma_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_nkoi,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_smet,tce_smet_err,tce_sradius,tce_sradius_err,wst_robstat,wst_depth,tce_maxmes,tce_maxmesd,tce_max_sngle_ev,tce_max_mult_ev,tce_bin_oedp_stat,tce_albedo,tce_albedo_err,tce_ptemp,tce_ptemp_err,tce_albedo_stat,tce_ptemp_stat,boot_fap,tce_cap_stat,tce_hap_stat,tce_rb_tcount0,tce_fwm_stat,tce_fwm_srao,tce_fwm_srao_err,tce_fwm_sdeco,tce_fwm_sdeco_err,tce_fwm_prao,tce_fwm_prao_err,tce_fwm_pdeco,tce_fwm_pdeco_err,tce_dicco_msky,tce_dicco_msky_err,tce_dikco_msky,tce_dikco_msky_err,mag,tce_steff_err1,tce_steff_err2,tce_slogg_err1,tce_slogg_err2,tce_smet_err1,tce_smet_err2,tce_sradius_err1,tce_sradius_err2,tce_smass,tce_smass_err1,tce_smass_err2,tce_sdens,tce_sdens_err1,tce_dens_serr2,ra,dec,kepoi_name,kepler_name,koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_comment,koi_period,koi_time0bk,koi_eccen,koi_impact,koi_duration,koi_ingress,koi_depth,koi_ror,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_datalink_dvr,koi_datalink_dvs,fpwg_disp_status,fpwg_disp_source,fpwg_disp_eb,fpwg_disp_offst,fpwg_disp_perep,fpwg_disp_other,label,wst_depth_original,tce_maxmes_original,tce_albedo_original,tce_ptemp_original,tce_albedo_stat_original,tce_ptemp_stat_original,tceid
6425135,7,0,006/006425/006425135/dv/kplr006425135-007-20160209194854_dvs.pdf,006/006425/006425135/dv/kplr006425135-20160209194854_dvr.pdf,24.617,0.000367724,140.067,0.0171315,0.012595014,0.012513306,20.886036,79.61043,88.46,18.81,0.5622,4.711,7.588,0.8698,0.1373,1.193,179.2,19.99,0,0,0,0,9,8.21,10.31,3.505,4.226,0.1706,0.1395,887.0,319.0,146.2,210.71,0,5199,201,3.663,0.89,-0.28,0.3,0.925,1.743,3.094,306.8,3.611,9.175,9.324,9.417,10.4,399.7,983.3,6129.61,3073.89,0.4054,1.696,9.2721e-23,1.986,-1.697,8,0.0,-0.1535,0.369,0.01034,0.297,9.476e-06,6.68e-05,0.0,-1.0,4.1639,2.07,4.2677,2.14,11.913,201.0,-165.0,0.885,-0.295,0.3,-0.25,1.162,-1.743,1.091,0.191,-0.286,0.09274,2.317,-0.06486,284.8544,41.890553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,306.8,3.611,399.7,6129.61,0.4054,1.696,6425135-7
7902097,4,0,007/007902/007902097/dv/kplr007902097-004-20160209194854_dvs.pdf,007/007902/007902097/dv/kplr007902097-20160209194854_dvr.pdf,575.703,0.00599834,239.981,0.00773419,0.028263122,0.0036006547,454.24326,98.84553,89.88,0.02867,0.9615,0.01959,3.528,0.4108,1.084,0.7293,564.7,121.7,0,0,0,0,3,7.036,7.494,2.696,0.816,1.338,0.3171,208.0,19.2,0.44,0.16,0,5834,159,4.539,0.2,-0.16,0.3,2.336,0.24,2.797,262.2,5.647,-49.26,9.87,13.38,0.3606,35540.0,19830.0,4413.43,492.19,1.793,8.538,1.0512e-11,3.49,0.2676,2,1.674,0.3322,0.462,0.1728,0.548,-0.0001949,0.000317,-8.799e-05,0.000397,0.39942,0.197,0.35105,0.197,12.269,145.0,-159.0,0.046,-0.196,0.3,-0.3,0.24,-0.08,0.963,0.108,-0.12,2.032,0.3944,-1.038,295.46518,43.665321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,262.2,5.647,35540.0,4413.43,1.793,8.538,7902097-4
5220979,1,0,005/005220/005220979/dv/kplr005220979-001-20160209194854_dvs.pdf,005/005220/005220979/dv/kplr005220979-20160209194854_dvr.pdf,1.52554,1.22017e-05,131.939,0.00232681,0.0078148138,0.0016712891,1.7286882,1.4765062,59.41,41.74,0.8798,0.3327,3.924,0.3452,0.1359,0.3788,55.62,6.742,0,0,0,0,880,9.077,7.374,1.343,0.5198,0.02905,0.007688,2350.0,246.0,7247.51,3028.82,0,7250,330,4.191,0.2,-0.22,0.35,1.57,0.508,7.472,40.5,9.671,0.613,5.501,8.802,1.054,10.42,6.104,6536.09,791.57,1.544,5.047,7.9001e-14,5.446,2.695,840,4.4282,-0.3202,0.617,0.1462,0.513,3.608e-05,3.43e-05,-2.285e-05,2.86e-05,0.24753,0.41,0.43149,0.227,13.295,228.0,-330.0,0.124,-0.201,0.25,-0.35,0.508,-0.313,1.409,0.219,-0.219,0.5079,0.3186,-0.2658,299.57999,40.363411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,40.5,9.671,10.42,6536.09,1.544,5.047,5220979-1
9821454,2,0,009/009821/009821454/dv/kplr009821454-002-20160209194854_dvs.pdf,009/009821/009821454/dv/kplr009821454-20160209194854_dvr.pdf,11.8693144,0.000127817,137.699,0.00866451,0.010180607,0.002861452,7.2317625,11.058823,82.91,13.76,0.8928,0.3583,5.977,0.868,0.2864,0.9799,91.1,7.239,0,0,0,0,109,12.73,12.78,1.118,0.4678,0.104,0.02781,864.0,90.4,131.71,55.12,2,5884,207,4.46,0.22,-0.26,0.35,1.373,0.312,2.49,20.4,2.713,6.393,3.404,12.78,1.112,97.19,75.4,4193.55,712.09,1.276,4.639,5.5492e-36,11.45,1.059,104,8.2896,2.131,1.03,-0.5108,0.967,-0.0002005,9.35e-05,4.077e-05,8.82e-05,0.70763,0.825,0.58387,0.802,14.307,169.0,-207.0,0.052,-0.221,0.25,-0.35,0.312,-0.111,1.066,0.143,-0.143,1.473,0.4041,-0.7541,287.03952,46.640129,K01529.02,Kepler-59 b,CONFIRMED,1.0,0.0,0.0,0.0,0.0,NO_COMMENT,11.8693144,137.721,0.0,0.73,4.653,,101.9,0.009947,1.09,0.104,86.93,864.0,131.58,13.63,3.4042969,12.777316,13.9,2.0,109.0,2.0,q1_q17_dr25_tce,009/009821/009821454/dv/kplr009821454-20160209194854_dvr.pdf,009/009821/009821454/dv/kplr009821454-002-20160209194854_dvs.pdf,NOT EXAMINED,,,,,,PC,20.4,2.713,97.19,4193.55,1.276,4.639,9821454-2
4175557,2,0,004/004175/004175557/dv/kplr004175557-002-20160209194854_dvs.pdf,004/004175/004175557/dv/kplr004175557-20160209194854_dvr.pdf,1.18948,7.56578e-06,132.105,0.00115684,0.023577014,0.009255662,3.3814863,5.346017,74.58,31.65,0.8988,0.3796,1.37,0.4874,0.1523,0.6017,461.4,56.21,0,0,0,0,723,13.63,10.44,2.346,1.129,0.02164,0.005089,1630.0,149.0,1656.31,608.38,0,5686,186,4.498,0.19,0.0,0.3,1.229,0.254,2.182,118.9,1.445,0.4323,3.874,11.11,0.0006054,5.564,5.159,3862.8,841.27,0.8848,2.617,4.1443e-28,3.826,24.01,691,540.24,6.995,0.437,1.387,0.455,-0.003335,0.000214,-0.0008586,0.00023,0.2407,0.101,0.058168,0.0679,15.433,169.0,-186.0,0.062,-0.188,0.25,-0.3,0.254,-0.091,0.956,0.104,-0.104,1.774,0.4568,-0.88,295.6713,39.278339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,118.9,1.445,5.564,3862.8,0.8848,2.617,4175557-2
6048137,1,0,006/006048/006048137/dv/kplr006048137-001-20160209194854_dvs.pdf,006/006048/006048137/dv/kplr006048137-20160209194854_dvr.pdf,2.82833,2.42165e-05,132.49,0.00489126,0.006720842,0.0011964891,1.5510753,0.9148191,54.45,33.72,0.9019,0.2107,7.83,0.5799,0.2836,0.6243,39.48,4.045,0,0,0,0,481,10.11,8.609,1.143,0.4303,0.04011,0.01265,1810.0,236.0,2540.1,1324.55,0,6582,237,4.084,0.29,-0.52,0.3,1.559,0.517,4.416,19.36,3.463,2.12,3.295,7.795,0.9011,13.11,8.522,5325.43,583.93,1.421,5.581,-1.0,5.844,4.674,459,43.174,2.68,0.809,3.572,1.03,-8.114e-05,3.2e-05,-0.000112,4.06e-05,0.38645,0.82,4.0327,0.681,11.63,189.0,-237.0,0.293,-0.158,0.3,-0.3,0.423,-0.517,1.075,0.164,-0.135,0.3996,0.7645,-0.1759,293.5676,41.331543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,19.36,3.463,13.11,5325.43,1.421,5.581,6048137-1
7281644,1,0,007/007281/007281644/dv/kplr007281644-001-20160209194854_dvs.pdf,007/007281/007281644/dv/kplr007281644-20160209194854_dvr.pdf,0.566759,1.42984e-05,131.858,0.00604645,0.0063527452,0.008969972,1.1641178,1.8647363,50.52,320.7,0.7401,3.844,3.731,0.6522,0.06864,0.9483,40.99,7.843,0,0,0,0,2315,6.96,14.04,0.6392,0.9208,0.0135,0.003308,2090.0,199.0,4531.01,1724.76,0,5745,171,4.518,0.2,0.1,0.3,1.093,0.264,0.0,0.0,0.0,0.1833,3.51,12.32,0.132,0.0,-1.0,0.0,-1.0,0.0,0.0,2.2635e-20,2.951,9.445,2263,2.3407,-1.88,2.06,-1.221,2.12,6.967e-05,8.45e-05,5.135e-05,8.68e-05,2.9924,0.508,3.0577,0.477,15.926,154.0,-171.0,0.038,-0.2,0.25,-0.3,0.264,-0.088,1.021,0.1,-0.122,1.834,0.3667,-0.9453,291.66064,42.851761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,0.0,0.0,0.0,0.0,0.0,0.0,7281644-1
8740898,4,0,008/008740/008740898/dv/kplr008740898-004-20160209194854_dvs.pdf,008/008740/008740898/dv/kplr008740898-20160209194854_dvr.pdf,249.303,0.00496646,264.566,0.01345,0.022260175,0.0019212354,63.172472,19.494732,89.19,0.3129,0.8909,0.07033,15.11,1.09,1.485,1.011,444.7,56.75,0,0,0,0,5,8.344,7.184,4.321,1.509,0.9593,0.2686,483.0,52.9,12.89,5.64,0,8028,352,4.215,0.22,0.36,0.5,1.605,0.602,2.913,165.7,3.582,5.905,11.27,10.84,0.9356,4492.0,2507.0,6115.13,651.26,1.791,8.619,5.1542e-14,1.979,0.5202,5,0.52432,0.4471,0.944,-0.03164,0.62,-0.0002003,0.000425,4.542e-05,0.00029,0.29018,0.209,0.35086,0.194,13.689,224.0,-352.0,0.054,-0.216,0.05,-0.5,0.602,-0.201,1.897,0.288,-0.262,0.4743,0.1054,-0.2605,286.03494,44.910881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,165.7,3.582,4492.0,6115.13,1.791,8.619,8740898-4
10484892,1,0,010/010484/010484892/dv/kplr010484892-001-20160209194854_dvs.pdf,010/010484/010484892/dv/kplr010484892-20160209194854_dvr.pdf,355.507,0.0180061,411.384,0.0210811,0.017940166,0.016488971,257.51961,1334.6407,89.84,1.646,0.703,3.754,7.764,2.757,0.2661,3.014,333.8,56.61,0,0,0,0,3,7.2,6.896,1.915,1.853,1.001,0.2562,292.0,29.1,1.71,0.68,0,6652,238,4.482,0.2,-0.5,0.3,1.309,0.297,4.435,253.8,4.172,0.6198,6.442,7.43,0.2411,38170.0,72510.0,6301.24,2942.91,0.5264,2.042,3.572e-14,2.554,0.5223,3,0.64642,-0.3829,1.69,-0.9163,1.59,0.000148,0.000565,0.0002446,0.000535,2.2723,2.96,2.2277,1.97,14.52,158.0,-238.0,0.036,-0.204,0.3,-0.3,0.297,-0.074,1.089,0.14,-0.127,1.639,0.3259,-0.8843,297.04755,47.604561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,253.8,4.172,38170.0,6301.24,0.5264,2.042,10484892-1
1431794,2,0,001/001431/001431794/dv/kplr001431794-002-20160209194854_dvs.pdf,001/001431/001431794/dv/kplr001431794-20160209194854_dvr.pdf,0.515958,-1.0,131.614,-1.0,0.018506036,-1.0,2.7306735,-1.0,87.9,-1.0,0.1,-1.0,1.5,-1.0,0.02885,-1.0,399.1,-1.0,0,-1,0,-1,438,-1.0,20.13,4.744,-1.0,0.01489,-1.0,4060.0,-1.0,64294.8,-1.0,0,7334,307,3.915,0.3,-0.2,0.35,2.428,0.839,15.07,663.0,12.87,0.3531,7.204,17.37,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-2.084,-0.8533,437,9.8507,-0.03676,0.00665,-0.1743,0.00879,-4.473e-06,0.00106,-3.591e-05,0.00133,0.080435,0.149,0.10897,0.141,12.386,230.0,-307.0,0.301,-0.129,0.25,-0.35,0.49,-0.839,1.651,0.183,-0.366,0.1795,0.3941,-0.07047,291.29684,37.000881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,663.0,12.87,0.0,0.0,0.0,0.0,1431794-2
