TCE ID,TIC ID,Sector Run,Planet Number,ExoMiner Score,ExoMiner Unc. Score,DV mini-report URL,Orbital Period [day],Transit Duration [hour],Transit Epoch [BTJD],Transit Depth [ppm],Planet Radius [Earth Radii],MES,Transit Model SNR,Number of transits observed,Gaia RUWE
232612416-1-S16,232612416,16,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019255032927-s0016-s0016-0000000232612416-00250_dvm.pdf),4.36,2.208,1739.443,5463.381,6.466,33.241,42.696,6.0,0.973
406941612-1-S1-65,406941612,1-65,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0065-0000000406941612-00728_dvm.pdf),4.678,1.512,1628.408,2026.314,1.929,30.713,33.544,21.0,1.107
257241363-1-S14-50,257241363,14-50,1,0.998,0.0,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0050-0000000257241363-00611_dvm.pdf),5.587,2.952,1848.027,1833.592,4.016,71.618,100.524,20.0,0.895
416195870-1-S14-19,416195870,14-19,1,0.998,0.0,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0019-0000000416195870-00280_dvm.pdf),2.744,1.6320000000000001,1684.618,5193.46,7.832,75.759,97.447,40.0,0.927
24695044-1-S1-36,24695044,1-36,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0036-0000000024695044-00464_dvm.pdf),4.165,2.04,2039.461,7718.064,8.918,77.342,95.462,15.0,0.982
300604770-1-S64,300604770,64,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2023096143437-s0064-s0064-0000000300604770-00720_dvm.pdf),3.456,2.3760000000000003,3043.389,20426.571,10.548,46.816,60.592,8.0,1.132
153078576-1-S1-36,153078576,1-36,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0036-0000000153078576-00464_dvm.pdf),2.703,1.7039999999999997,2116.621,5132.678,3.794,20.763,27.675,17.0,1.134
153951307-1-S14-50,153951307,14-50,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0050-0000000153951307-00611_dvm.pdf),3.295,1.7279999999999998,1684.288,1333.991,2.345,20.738,22.919,42.0,1.027
198390247-1-S14-55,198390247,14-55,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0055-0000000198390247-00652_dvm.pdf),6.589,1.8719999999999999,1683.801,831.973,2.191,29.793,33.093,67.0,0.93
165723070-1-S14-55,165723070,14-55,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0055-0000000165723070-00652_dvm.pdf),1.721,2.2560000000000002,2638.782,11574.093,10.422,60.742,67.158,31.0,0.867
35009898-1-S1-46,35009898,1-46,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0046-0000000035009898-00555_dvm.pdf),1.528,1.44,1543.431,2809.042,2.663,21.172,24.739,57.0,1.145
158002130-1-S14-55,158002130,14-55,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0055-0000000158002130-00652_dvm.pdf),9.687,2.7840000000000003,1691.049,1597.324,3.139,41.355,43.631,23.0,1.101
307210830-2-S1-13,307210830,1-13,2,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0013-0000000307210830-00226_dvm.pdf),7.451,0.8400000000000001,1355.287,1667.795,1.47,28.665,32.97,21.0,1.132
220475245-1-S33,220475245,33,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2020353052510-s0033-s0033-0000000220475245-00430_dvm.pdf),3.782,2.3520000000000003,2203.689,18841.904,12.226,46.827,64.539,6.0,1.109
75878355-2-S14-55,75878355,14-55,2,0.998,0.0,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0055-0000000075878355-00652_dvm.pdf),9.229,3.048,2010.689,1493.263,3.194,68.775,76.893,13.0,1.056
272672133-1-S14-55,272672133,14-55,1,0.998,0.0,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0055-0000000272672133-00652_dvm.pdf),3.494,2.088,1872.515,3688.496,5.479,62.868,72.69,69.0,0.936
359271092-1-S1-65,359271092,1-65,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0065-0000000359271092-00734_dvm.pdf),7.577,2.088,1544.072,272.553,0.872,15.557,17.239,20.0,1.101
229605891-1-S52,229605891,52,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022139030450-s0052-s0052-0000000229605891-00624_dvm.pdf),2.038,2.16,2719.67,20971.17,11.706,41.125,65.128,12.0,1.03
441763252-1-S57,441763252,57,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022273202044-s0057-s0057-0000000441763252-00666_dvm.pdf),2.771,2.3040000000000003,2854.097,21182.383,11.394,42.376,64.488,10.0,1.049
416195870-1-S14-41,416195870,14-41,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0041-0000000416195870-00512_dvm.pdf),2.744,1.6320000000000001,1684.618,5146.598,7.798,121.632,163.446,107.0,0.927
427730490-1-S58,427730490,58,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022302194443-s0058-s0058-0000000427730490-00672_dvm.pdf),3.861,2.64,2883.217,13926.146,10.891,144.96,157.999,7.0,0.904
162289289-1-S56,162289289,56,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022245180045-s0056-s0056-0000000162289289-00661_dvm.pdf),3.821,2.448,2826.449,13607.993,11.687,56.215,66.431,8.0,1.035
416195870-1-S56,416195870,56,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022245180045-s0056-s0056-0000000416195870-00661_dvm.pdf),2.744,1.584,2826.19,5040.549,7.563,39.56,55.064,10.0,0.927
27649847-1-S1-46,27649847,1-46,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0046-0000000027649847-00555_dvm.pdf),1.543,1.224,1492.717,2127.103,1.95,17.198,20.361,71.0,1.268
416195870-1-S14-26,416195870,14-26,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0026-0000000416195870-00353_dvm.pdf),2.744,1.6320000000000001,1684.618,5167.173,7.796,111.379,147.592,87.0,0.927
257241363-1-S1-46,257241363,1-46,1,0.998,0.0,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0046-0000000257241363-00555_dvm.pdf),5.587,2.928,1848.027,1817.766,3.998,63.21,88.652,16.0,0.895
278683844-1-S1-65,278683844,1-65,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0065-0000000278683844-00734_dvm.pdf),5.541,2.664,1327.612,606.662,2.009,43.938,47.734,119.0,0.894
390651552-1-S50,390651552,50,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022085182052-s0050-s0050-0000000390651552-00597_dvm.pdf),1.467,1.032,2666.186,1607.878,1.414,23.431,33.467,11.0,1.066
416195870-1-S47,416195870,47,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2021365070455-s0047-s0047-0000000416195870-00560_dvm.pdf),2.744,1.536,2581.961,4699.832,7.068,33.609,46.18,10.0,0.927
272672133-1-S14-60,272672133,14-60,1,0.998,0.0,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0060-0000000272672133-00692_dvm.pdf),3.494,2.088,1872.515,3666.094,5.462,67.548,78.3,82.0,0.936
153951307-1-S14-41,153951307,14-41,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0041-0000000153951307-00512_dvm.pdf),3.295,1.6800000000000002,1684.291,1382.547,2.385,19.552,22.309,37.0,1.027
406941612-1-S1-39,406941612,1-39,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0039-0000000406941612-00493_dvm.pdf),4.678,1.536,1628.407,1934.503,1.973,25.705,27.706,15.0,1.107
158002130-1-S14-60,158002130,14-60,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0060-0000000158002130-00692_dvm.pdf),9.687,2.736,1691.048,1595.381,2.973,44.65,49.272,28.0,1.101
35009898-1-S1-65,35009898,1-65,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0065-0000000035009898-00734_dvm.pdf),1.528,1.3920000000000001,1543.432,2917.87,2.712,23.492,28.84,72.0,1.145
221861843-1-S66,221861843,66,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2023153040035-s0066-s0066-0000000221861843-00749_dvm.pdf),2.218,1.7279999999999998,3098.861,16298.969,11.22,76.384,86.387,10.0,0.845
199444169-1-S14-60,199444169,14-60,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0060-0000000199444169-00692_dvm.pdf),1.217,1.104,1739.729,1492.554,2.99,26.853,31.133,33.0,1.003
219850915-1-S14-60,219850915,14-60,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0060-0000000219850915-00692_dvm.pdf),6.4,2.136,1684.949,1039.998,2.293,32.604,34.721,94.0,0.874
416195870-1-S14-23,416195870,14-23,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0023-0000000416195870-00328_dvm.pdf),2.744,1.608,1684.618,5172.219,7.787,100.028,132.148,68.0,0.927
257241363-1-S42-46,257241363,42-46,1,0.998,0.0,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2021233042500-s0042-s0046-0000000257241363-00550_dvm.pdf),5.587,2.928,2501.711,1810.973,3.991,58.853,77.965,12.0,0.895
232612416-1-S21,232612416,21,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2020021221522-s0021-s0021-0000000232612416-00293_dvm.pdf),4.36,2.184,1874.609,5749.717,6.609,36.299,46.58,6.0,0.973
1717079066-1-S53,1717079066,53,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022164114449-s0053-s0053-0000001717079066-00640_dvm.pdf),1.764,3.3120000000000003,2745.233,10074.204,10.133,69.948,84.733,11.0,1.825
229605891-1-S53,229605891,53,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022164114449-s0053-s0053-0000000229605891-00640_dvm.pdf),2.038,2.16,2744.127,20557.334,11.772,42.074,62.283,12.0,1.03
219852584-1-S57,219852584,57,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022273202044-s0057-s0057-0000000219852584-00666_dvm.pdf),3.197,3.6959999999999997,2855.835,7863.725,14.687,115.207,120.175,8.0,0.954
219195044-1-S1-39,219195044,1-39,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0039-0000000219195044-00493_dvm.pdf),4.324,1.584,1412.827,1031.222,1.742,17.388,19.602,69.0,1.188
232612416-1-S14-26,232612416,14-26,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0026-0000000232612416-00353_dvm.pdf),4.36,2.2800000000000002,1687.122,5615.399,6.753,115.972,143.978,68.0,0.973
416195870-1-S58,416195870,58,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022302194443-s0058-s0058-0000000416195870-00672_dvm.pdf),2.744,1.584,2883.82,4860.046,7.394,35.571,49.51,9.0,0.927
220475245-1-S63,220475245,63,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2023069204038-s0063-s0063-0000000220475245-00712_dvm.pdf),3.782,2.4240000000000004,3016.762,19948.072,12.942,50.597,64.137,7.0,1.109
232612416-1-S53,232612416,53,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022164114449-s0053-s0053-0000000232612416-00640_dvm.pdf),4.36,2.3760000000000003,2746.64,5836.958,7.148,33.389,43.279,6.0,0.973
150030205-2-S1-39,150030205,1-39,2,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0039-0000000150030205-00493_dvm.pdf),39.362,4.68,1344.381,597.061,1.944,24.27,25.183,15.0,1.054
232612416-1-S15,232612416,15,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019227203528-s0015-s0015-0000000232612416-00245_dvm.pdf),4.36,2.232,1713.283,5538.045,6.486,33.201,42.355,6.0,0.973
416195870-1-S50,416195870,50,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022085182052-s0050-s0050-0000000416195870-00597_dvm.pdf),2.744,1.584,2667.028,5073.972,7.601,29.977,38.974,7.0,0.927
300604770-1-S63,300604770,63,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2023069204038-s0063-s0063-0000000300604770-00712_dvm.pdf),3.457,2.3760000000000003,3015.738,19669.581,10.524,43.67,53.796,8.0,1.132
142105158-1-S61,142105158,61,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2023018070040-s0061-s0061-0000000142105158-00699_dvm.pdf),2.935,2.2560000000000002,2963.269,6518.124,6.799,21.742,29.704,7.0,0.949
416195870-1-S57,416195870,57,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022273202044-s0057-s0057-0000000416195870-00666_dvm.pdf),2.744,1.6320000000000001,2853.634,5143.015,7.892,45.693,57.639,9.0,0.927
232612416-1-S19,232612416,19,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019332134924-s0019-s0019-0000000232612416-00278_dvm.pdf),4.36,2.208,1817.926,5667.279,6.561,35.343,46.793,6.0,0.973
441763252-1-S52,441763252,52,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022139030450-s0052-s0052-0000000441763252-00624_dvm.pdf),2.771,2.3520000000000003,2721.094,20984.674,11.34,32.771,42.804,8.0,1.049
232612416-1-S52,232612416,52,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022139030450-s0052-s0052-0000000232612416-00624_dvm.pdf),4.361,2.232,2720.477,5473.862,6.448,35.504,43.873,6.0,0.973
1717079066-1-S54,1717079066,54,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022190092448-s0054-s0054-0000001717079066-00645_dvm.pdf),1.764,3.2880000000000003,2769.923,9494.275,9.837,70.332,87.258,15.0,1.825
416195870-1-S54,416195870,54,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022190092448-s0054-s0054-0000000416195870-00645_dvm.pdf),2.744,1.608,2771.307,5108.306,7.769,36.294,51.104,10.0,0.927
219850915-1-S14-55,219850915,14-55,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0055-0000000219850915-00652_dvm.pdf),6.4,2.16,1684.95,1026.602,2.273,28.112,29.952,76.0,0.874
22233480-1-S14-55,22233480,14-55,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0055-0000000022233480-00652_dvm.pdf),7.446,1.992,2396.41,4045.724,2.405,23.146,32.71,10.0,1.091
233823679-1-S14-60,233823679,14-60,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0060-0000000233823679-00692_dvm.pdf),2.759,3.12,2422.545,4345.42,7.955,45.289,69.407,29.0,0.995
160045097-1-S14-60,160045097,14-60,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0060-0000000160045097-00692_dvm.pdf),4.988,2.2800000000000002,1688.077,1192.34,2.47,16.067,19.362,54.0,0.954
198390247-1-S14-60,198390247,14-60,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0060-0000000198390247-00692_dvm.pdf),6.589,1.8239999999999998,1683.801,833.77,2.051,33.609,37.906,82.0,0.93
142105158-1-S62,142105158,62,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2023043222439-s0062-s0062-0000000142105158-00706_dvm.pdf),2.936,2.208,2989.692,7041.449,6.876,25.306,35.283,7.0,0.949
232612416-1-S14-60,232612416,14-60,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0060-0000000232612416-00692_dvm.pdf),4.36,2.3520000000000003,1687.122,5592.291,6.956,213.118,209.426,132.0,0.973
233087860-1-S14-19,233087860,14-19,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0019-0000000233087860-00280_dvm.pdf),5.748,1.8479999999999999,1684.359,1089.074,2.279,22.035,25.561,22.0,1.08
367753709-1-S14-60,367753709,14-60,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0060-0000000367753709-00692_dvm.pdf),2.126,1.464,1685.201,570.686,1.678,16.531,18.517,231.0,0.983
233071822-1-S14-60,233071822,14-60,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0060-0000000233071822-00692_dvm.pdf),2.755,0.96,1684.973,445.911,1.767,13.717,18.819,211.0,0.799
239332587-1-S55,239332587,55,1,0.997,0.005,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022217141447-s0055-s0055-0000000239332587-00651_dvm.pdf),0.926,0.9359999999999999,2797.578,1041.122,1.392,27.493,37.342,28.0,1.02
416195870-1-S55,416195870,55,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022217141447-s0055-s0055-0000000416195870-00651_dvm.pdf),2.744,1.584,2798.749,5244.518,7.625,40.819,48.827,8.0,0.927
232612416-1-S55,232612416,55,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022217141447-s0055-s0055-0000000232612416-00651_dvm.pdf),4.36,2.3280000000000003,2798.96,5733.052,6.992,24.932,36.435,5.0,0.973
229605891-1-S56,229605891,56,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022245180045-s0056-s0056-0000000229605891-00661_dvm.pdf),2.038,2.112,2825.655,20707.524,11.64,40.034,61.804,13.0,1.03
219852584-1-S56,219852584,56,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022245180045-s0056-s0056-0000000219852584-00661_dvm.pdf),3.197,3.6959999999999997,2827.064,8008.424,14.783,99.624,117.054,8.0,0.954
232612416-1-S56,232612416,56,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022245180045-s0056-s0056-0000000232612416-00661_dvm.pdf),4.361,2.3760000000000003,2829.481,5735.692,7.083,33.829,44.85,5.0,0.973
160390955-1-S56,160390955,56,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022245180045-s0056-s0056-0000000160390955-00661_dvm.pdf),4.417,2.592,2825.891,6603.778,6.313,19.126,24.922,7.0,0.995
101696403-1-S67,101696403,67,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2023182031434-s0067-s0067-0000000101696403-00756_dvm.pdf),1.624,2.3520000000000003,3128.231,17958.637,14.383,38.829,57.212,12.0,0.943
418343229-1-S14-23,418343229,14-23,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0023-0000000418343229-00328_dvm.pdf),0.294,0.552,1816.184,762.911,0.965,14.804,16.554,165.0,1.303
232612416-1-S14-23,232612416,14-23,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0023-0000000232612416-00328_dvm.pdf),4.36,2.2800000000000002,1687.121,5630.036,6.781,105.067,133.431,55.0,0.973
219857012-1-S14-60,219857012,14-60,1,0.997,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0060-0000000219857012-00692_dvm.pdf),21.269,6.648000000000001,1725.355,381.349,2.578,34.949,37.66,29.0,0.999
232612416-1-S14,232612416,14,1,0.997,0.001,,4.36,2.3280000000000003,1687.123,5570.3,6.894,34.689,41.845,6.0,0.973
