TCE ID,TIC ID,Sector Run,Planet Number,ExoMiner Score,ExoMiner Unc. Score,DV mini-report URL,Orbital Period [day],Transit Duration [hour],Transit Epoch [BTJD],Transit Depth [ppm],Planet Radius [Earth Radii],MES,Transit Model SNR,Number of transits observed,Gaia RUWE
390651552-1-S23,390651552,23,1,0.999,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2020079142120-s0023-s0023-0000000390651552-00326_dvm.pdf),1.467,1.008,1928.225,1599.528,1.333,24.825,34.199,13.0,1.066
239332587-1-S14-60,239332587,14-60,1,0.999,0.0,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0060-0000000239332587-00692_dvm.pdf),0.926,0.96,2420.563,1016.784,1.451,49.597,62.234,86.0,1.02
239332587-1-S56,239332587,56,1,0.999,0.0,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022245180045-s0056-s0056-0000000239332587-00661_dvm.pdf),0.926,0.9359999999999999,2825.366,1050.754,1.387,27.593,39.124,30.0,1.02
257241363-1-S14-60,257241363,14-60,1,0.999,0.0,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0060-0000000257241363-00692_dvm.pdf),5.587,3.024,1848.026,1824.389,4.255,116.96,116.099,23.0,0.895
390651552-1-S14-50,390651552,14-50,1,0.999,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0050-0000000390651552-00611_dvm.pdf),1.467,1.008,1928.225,1550.632,1.324,34.386,45.331,24.0,1.066
239332587-1-S41,239332587,41,1,0.999,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2021205113501-s0041-s0041-0000000239332587-00511_dvm.pdf),0.926,0.96,2420.564,1029.689,1.409,24.44,32.463,28.0,1.02
239332587-1-S14-55,239332587,14-55,1,0.999,0.0,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0055-0000000239332587-00652_dvm.pdf),0.926,0.96,2420.564,1009.799,1.395,38.915,48.88,56.0,1.02
24695044-1-S27,24695044,27,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2020187183116-s0027-s0027-0000000024695044-00362_dvm.pdf),4.164,1.944,2039.461,7880.271,8.814,52.257,60.764,6.0,0.982
416195870-1-S19,416195870,19,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019332134924-s0019-s0019-0000000416195870-00278_dvm.pdf),2.744,1.584,1816.338,5056.588,7.551,36.917,51.437,9.0,0.927
416195870-1-S26,416195870,26,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2020161181517-s0026-s0026-0000000416195870-00350_dvm.pdf),2.744,1.584,2011.175,4976.216,7.47,37.257,45.944,9.0,0.927
142105158-1-S27,142105158,27,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2020187183116-s0027-s0027-0000000142105158-00362_dvm.pdf),2.936,2.208,2038.418,6358.109,6.529,22.996,30.722,8.0,0.949
416195870-1-S16,416195870,16,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019255032927-s0016-s0016-0000000416195870-00250_dvm.pdf),2.744,1.488,1739.501,5315.041,7.095,35.349,45.116,8.0,0.927
416195870-1-S41,416195870,41,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2021205113501-s0041-s0041-0000000416195870-00511_dvm.pdf),2.744,1.584,2420.054,5003.907,7.586,32.27,50.591,10.0,0.927
366115856-1-S58,366115856,58,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022302194443-s0058-s0058-0000000366115856-00672_dvm.pdf),2.347,2.088,2882.883,22898.266,11.617,40.42,62.467,12.0,0.985
427730490-1-S52,427730490,52,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022139030450-s0052-s0052-0000000427730490-00624_dvm.pdf),3.861,2.616,2721.061,13704.704,10.726,116.107,113.808,6.0,0.904
232612416-1-S14-19,232612416,14-19,1,0.998,0.001,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0019-0000000232612416-00280_dvm.pdf),4.36,2.2560000000000002,1687.121,5547.887,6.655,79.479,100.284,33.0,0.973
